Agartala,Tropical Savanna
Agra,Mid-Latitude Steppe and Desert
Aizawl,Humid Subtropical
Aizwal,Humid Subtropical
Amritsar,Humid Subtropical
Asansol,Tropical Savanna
Aurangabad,Mid-Latitude Steppe and Desert
Bareilly,Humid Subtropical
Belgaum,Tropical Savanna
Bengaluru,Tropical Savanna
Bhilai,Tropical Savanna
Bhopal,Mediterran
Chandigarh,Humid Subtropical
Chennai,Tropical Savanna
Coimbatore,Tropical Savanna
Dehradun,Humid Subtropical
Delhi,Humid Subtropical
DurgBhilai,Tropical Savanna
Faridabad,Mid-Latitude Steppe and Desert
Gandhinagar,Mid-Latitude Steppe and Desert
Gangtok,Oceanic Subtropical Highland Climate
Ghaziabad,Humid Subtropical
Gorakhpur,Humid Subtropical
Gwalior,Mediterran
Hyderabad,Tropical Savanna
Imphal,Humid Subtropical
Indore,Tropical Savanna
Jabalpur,Mediterran
Jaipur,Mid-Latitude Steppe and Desert
Jalandhar,Humid Subtropical
Jodhpur,Mid-Latitude Steppe and Desert
Kanpur,Mediterran
Kochi,Tropical Monsoon
Kohima,Oceanic Subtropical Highland
Kolkata,Tropical Savanna
Kota,Mid-Latitude Steppe and Desert
Kozhikode,Tropical Monsoon
Lucknow,Mediterran
Ludhiana,Humid Subtropical
Mangalore,Tropical Savanna
Mangaluru,Tropical Savanna
Meerut,Humid Subtropical
Moradabad,Humid Subtropical
Mumbai,Tropical Savanna
Mysuru,Tropical Savanna
Nashik,Tropical Savanna
NewDelhi,Humid Subtropical
Patna,Humid Subtropical
Pondicherry,Tropical Savanna
Prayagraj,Mediterran
Puducherry,Tropical Savanna
Pune,Tropical Savanna
Shillong,Humid Subtropical
Solapur,Mid-Latitude Steppe and Desert
Srinagar,Marine West Coast
Thiruvananthapuram,Tropical Monsoon
Varanasi,Humid Subtropical
Vijayawada,Tropical Savanna
Vijaywada,Tropical Savanna
Visakhapatnam,Tropical Savanna
