date,location,NO2_govt,SO2_govt,CO_govt,PM2.5_govt,NH3_govt
2018-01-01,Agartala,,,,,
2018-01-01,Agra,50.29,9.97,,341.93,
2018-01-01,Aizawl,,,,,
2018-01-01,Amritsar,30.43,2.78,,,
2018-01-01,Asansol,,,,,
2018-01-01,Aurangabad,53.19,6.59,,101.4,
2018-01-01,Bareilly,,,,,
2018-01-01,Belgaum,,,,,
2018-01-01,Bengaluru,43.919999999999995,3.2733333333333334,1.0599999999999998,39.43,
2018-01-01,Bhilai,,,,,
2018-01-01,Bhopal,,,,,
2018-01-01,Chandigarh,,,,,
2018-01-01,Chennai,13.285,3.59,,48.61,
2018-01-01,Coimbatore,,,,,
2018-01-01,Dehradun,,,,,
2018-01-01,Delhi,62.144999999999996,17.06625,1.8292857142857142,304.63235294117646,36.58
2018-01-01,Faridabad,110.91,8.08,,416.86,
2018-01-01,Gandhinagar,,,,,
2018-01-01,Gangtok,,,,,
2018-01-01,Ghaziabad,73.21,48.15,,484.17,
2018-01-01,Gorakhpur,,,,,
2018-01-01,Gwalior,,,,,
2018-01-01,Hyderabad,53.025000000000006,12.782499999999999,,54.0775,
2018-01-01,Imphal,,,,,
2018-01-01,Indore,,,,,
2018-01-01,Jabalpur,,,,,
2018-01-01,Jaipur,46.655,9.254999999999999,,72.775,
2018-01-01,Jalandhar,,,,,
2018-01-01,Jodhpur,44.79,9.21,,88.43,
2018-01-01,Kanpur,54.35,3.6,,221.75,
2018-01-01,Kochi,,,,,
2018-01-01,Kohima,,,,,
2018-01-01,Kolkata,,,,,
2018-01-01,Kota,41.79,8.33,,113.28,
2018-01-01,Kozhikode,,,,,
2018-01-01,Lucknow,32.723333333333336,6.625,,158.84666666666666,
2018-01-01,Ludhiana,24.82,2.93,1.13,155.86,
2018-01-01,Mangalore,,,,,
2018-01-01,Meerut,,,,,
2018-01-01,Moradabad,,,,,
2018-01-01,Mumbai,,,0.33,,
2018-01-01,Mysuru,,,,,
2018-01-01,Nashik,30.28,6.1,,76.51,
