date,location,BC_sat,CO_sat,NO2_sat,SO2_sat
2018-01-01,Agartala,8.28e-09,,,
2018-01-01,Agra,6.13e-09,,,
2018-01-01,Aizwal,2.41e-09,,,
2018-01-01,Amritsar,5.42e-09,,,
2018-01-01,Asansol,9.15e-09,,8450960000000000.0,0.529999971
2018-01-01,Aurangabad,2.82e-09,,6800460000000000.0,0.048152939
2018-01-01,Bareilly,6.36e-09,,,
2018-01-01,Belgaum,3.05e-09,,2412910000000000.0,0.067453429
2018-01-01,Bengaluru,2.49e-09,,5998410000000000.0,-0.200035259
2018-01-01,Bhopal,2.33e-09,,,
2018-01-01,Chandigarh,3.56e-09,,,
2018-01-01,Chennai,2.47e-09,146.683306,,
2018-01-01,Coimbatore,2.97e-09,,3814230000000000.0,-0.030164205
2018-01-01,Dehradun,2.61e-09,,,
2018-01-01,DurgBhilai,3.06e-09,,,
2018-01-01,Faridabad,6.71e-09,,,
2018-01-01,Gandhinagar,2.19e-09,120.140612,7686370000000000.0,0.093314588
2018-01-01,Gangtok,1.83e-09,,5734460000000000.0,
2018-01-01,Ghaziabad,6.63e-09,,,
2018-01-01,Gorakhpur,8.9e-09,,,
2018-01-01,Gwalior,4.31e-09,,,
2018-01-01,Hyderabad,3.27e-09,,,
2018-01-01,Imphal,1.54e-09,,,
2018-01-01,Indore,2.05e-09,,5409330000000000.0,-0.036683846
2018-01-01,Jabalpur,2.34e-09,,,
2018-01-01,Jaipur,3.2e-09,,,
2018-01-01,Jalandhar,5.52e-09,,,
2018-01-01,Jodhpur,2.23e-09,,3963050000000000.0,-0.112150922
2018-01-01,Kanpur,6.9e-09,148.662366,,
2018-01-01,Kochi,3.09e-09,137.137249,4807360000000000.0,0.039999999
2018-01-01,Kohima,1.97e-09,,,
2018-01-01,Kolkata,9.94e-09,,,
2018-01-01,Kota,3.01e-09,,,
2018-01-01,Kozhikode,3e-09,128.056854,2477680000000000.0,0.012576978
2018-01-01,Lucknow,8.07e-09,148.662366,,
2018-01-01,Ludhiana,5.14e-09,,,
2018-01-01,Mangaluru,2.7e-09,119.20929,3922960000000000.0,-0.01
2018-01-01,Meerut,6.32e-09,,,
2018-01-01,Miami,,122.93458,,
2018-01-01,Moradabad,5.99e-09,,,
2018-01-01,Mumbai,3.38e-09,118.860044,8526870000000000.0,0.357246667
2018-01-01,Mysuru,2.82e-09,,2675710000000000.0,-0.253015578
2018-01-01,Nashik,2.63e-09,124.331564,7171240000000000.0,0.0307108
2018-01-01,NewDelhi,6.29e-09,,,
2018-01-01,Patna,1.2e-08,142.608769,,
2018-01-01,Pondicherry,2.11e-09,118.918251,,
2018-01-01,Prayagraj,6.76e-09,145.984814,,
2018-01-01,Pune,3.07e-09,116.589945,8926880000000000.0,0.104761407
2018-01-01,Shillong,3.29e-09,,3244990000000000.0,-0.589999974
2018-01-01,Solapur,3.23e-09,,4951730000000000.0,-0.107021637
2018-01-01,Srinagar,5.97e-10,,,
2018-01-01,Thiruvananthapuram,2.51e-09,135.391019,2830850000000000.0,0.128802657
2018-01-01,Varanasi,8.81e-09,140.978955,,
2018-01-01,Vijaywada,3.81e-09,129.453838,,
2018-01-01,Visakhapatnam,3.28e-09,158.778627,,
2018-01-02,Agartala,,144.238584,,
2018-01-02,Agra,,,,
2018-01-02,Aizwal,,132.364221,,
2018-01-02,Amritsar,,,8754210000000000.0,0.141445845
2018-01-02,Asansol,,,7671510000000000.0,0.49000001
2018-01-02,Aurangabad,,,,0.255373508
2018-01-02,Bareilly,,,,-0.584999979
2018-01-02,Belgaum,,,,
2018-01-02,Bengaluru,,,,
2018-01-02,Bhopal,,,4601160000000000.0,-0.243355021
2018-01-02,Chandigarh,,,4829580000000000.0,
2018-01-02,Chennai,,,4776370000000000.0,
2018-01-02,Coimbatore,,,,
2018-01-02,Dehradun,,,4225410000000000.0,1.02732396
2018-01-02,DurgBhilai,,,,
2018-01-02,Faridabad,,,7623280000000000.0,0.298199952
2018-01-02,Gandhinagar,,101.921614,,
2018-01-02,Gangtok,,,4043080000000000.0,
2018-01-02,Ghaziabad,,,,
2018-01-02,Gorakhpur,,,4956190000000000.0,
2018-01-02,Gwalior,,,4323500000000000.0,
2018-01-02,Hyderabad,,,4646110000000000.0,
2018-01-02,Imphal,,158.208422,,
2018-01-02,Indore,,,,-0.685422599
2018-01-02,Jabalpur,,,5614850000000000.0,
2018-01-02,Jaipur,,,6711860000000000.0,0.22361581
2018-01-02,Jalandhar,,,5608050000000000.0,
2018-01-02,Jodhpur,,,,
2018-01-02,Kanpur,,,,
2018-01-02,Kochi,,129.337423,,
2018-01-02,Kohima,,,,
2018-01-02,Kolkata,,115.658622,9587080000000000.0,0.170000002
2018-01-02,Kota,,,5204830000000000.0,0.199022874
2018-01-02,Kozhikode,,115.891453,,
2018-01-02,Lucknow,,,,
2018-01-02,Ludhiana,,,,
2018-01-02,Mangaluru,,118.743628,,
2018-01-02,Meerut,,,6951190000000000.0,
2018-01-02,Miami,,140.629709,,
2018-01-02,Moradabad,,,5098520000000000.0,
2018-01-02,Mumbai,,127.009116,,
2018-01-02,Mysuru,,,,
2018-01-02,Nashik,,,,
2018-01-02,NewDelhi,,,7255300000000000.0,
2018-01-02,Patna,,140.629709,4377550000000000.0,
2018-01-02,Pondicherry,,,4267390000000000.0,
2018-01-02,Prayagraj,,,,
2018-01-02,Pune,,135.62385,,
2018-01-02,Shillong,,134.343281,,
2018-01-02,Solapur,,,,0.082702793
2018-01-02,Srinagar,,,3414960000000000.0,0.220029712
2018-01-02,Thiruvananthapuram,,133.994035,,
2018-01-02,Varanasi,,,,
2018-01-02,Vijaywada,,,5100920000000000.0,
2018-01-02,Visakhapatnam,,,4159610000000000.0,0.016584531
2018-01-03,Agartala,,,6137040000000000.0,-0.550000012
2018-01-03,Agra,,,5831380000000000.0,0.01528347
2018-01-03,Aizwal,,,,
2018-01-03,Amritsar,,,,-0.529999971
2018-01-03,Asansol,,,,
2018-01-03,Aurangabad,,,4804930000000000.0,0.204241425
2018-01-03,Bareilly,,,,
2018-01-03,Belgaum,,,2843050000000000.0,0.080224574
2018-01-03,Bengaluru,,,,
2018-01-03,Bhopal,,,2900150000000000.0,-0.205987856
2018-01-03,Chandigarh,,,8573120000000000.0,
2018-01-03,Chennai,,115.192961,9804840000000000.0,0.035007555
2018-01-03,Coimbatore,,,4165050000000000.0,0.129999995
2018-01-03,Dehradun,,,,
2018-01-03,DurgBhilai,,,,
2018-01-03,Faridabad,,,2.41e+16,0.392675042
2018-01-03,Gandhinagar,,95.4023562,5865830000000000.0,-0.133558288
2018-01-03,Gangtok,,,,0.529999971
2018-01-03,Ghaziabad,,,2.34e+16,
2018-01-03,Gorakhpur,,,,
2018-01-03,Gwalior,,,4565450000000000.0,-0.045292612
2018-01-03,Hyderabad,,,7990610000000000.0,
2018-01-03,Imphal,,,,
2018-01-03,Indore,,,3950820000000000.0,0.154102117
2018-01-03,Jabalpur,,,,
2018-01-03,Jaipur,,,8365230000000000.0,0.00117258
2018-01-03,Jalandhar,,,7430250000000000.0,
2018-01-03,Jodhpur,,,4296770000000000.0,-0.072989658
2018-01-03,Kanpur,,141.211785,,
2018-01-03,Kochi,,105.937943,4186390000000000.0,0.029999999
2018-01-03,Kohima,,,,
2018-01-03,Kolkata,,128.755346,,
2018-01-03,Kota,,,6762100000000000.0,0.08915291
2018-01-03,Kozhikode,,106.228981,3189240000000000.0,0.218270242
2018-01-03,Lucknow,,141.211785,,
2018-01-03,Ludhiana,,,1.29e+16,-0.056914613
2018-01-03,Mangaluru,,,3948700000000000.0,-0.680000007
2018-01-03,Meerut,,,1.4e+16,
2018-01-03,Miami,,,,
2018-01-03,Moradabad,,,,
2018-01-03,Mumbai,,,6541920000000000.0,1.41110468
2018-01-03,Mysuru,,,3900030000000000.0,-0.315030128
2018-01-03,Nashik,,114.494469,4651400000000000.0,0.128404275
2018-01-03,NewDelhi,,,1.8e+16,-0.109999999
2018-01-03,Patna,,122.119673,,
2018-01-03,Pondicherry,,111.351255,4552200000000000.0,0.006666663
2018-01-03,Prayagraj,,142.026693,,
2018-01-03,Pune,,,4094030000000000.0,0.221006304
2018-01-03,Shillong,,,,
2018-01-03,Solapur,,,3865910000000000.0,0.175611719
2018-01-03,Srinagar,,,4273800000000000.0,0.099747479
2018-01-03,Thiruvananthapuram,,111.700501,3036860000000000.0,
2018-01-03,Varanasi,,131.782144,,
2018-01-03,Vijaywada,,122.236088,,
2018-01-03,Visakhapatnam,,131.499662,,
2018-01-04,Agartala,,115.483999,3911200000000000.0,0.02
2018-01-04,Agra,,,,
2018-01-04,Aizwal,,115.891453,2691520000000000.0,
2018-01-04,Amritsar,,,,
2018-01-04,Asansol,,107.74238,6156990000000000.0,-0.209999993
2018-01-04,Aurangabad,,,,
2018-01-04,Bareilly,,,5661570000000000.0,
2018-01-04,Belgaum,,,,
2018-01-04,Bengaluru,,,,
2018-01-04,Bhopal,,,,
2018-01-04,Chandigarh,,,,
2018-01-04,Chennai,,113.446731,,
2018-01-04,Coimbatore,,,,
2018-01-04,Dehradun,,,3091400000000000.0,0.306958526
2018-01-04,DurgBhilai,,,5356750000000000.0,-0.409999996
2018-01-04,Faridabad,,,,
2018-01-04,Gandhinagar,,113.2139,,
2018-01-04,Gangtok,,,3967220000000000.0,0.129999995
2018-01-04,Ghaziabad,,,,
2018-01-04,Gorakhpur,,,,
2018-01-04,Gwalior,,,,-1.06017029
2018-01-04,Hyderabad,,,,
2018-01-04,Imphal,,121.304765,,
2018-01-04,Indore,,,,
2018-01-04,Jabalpur,,,3858280000000000.0,0.031059917
2018-01-04,Jaipur,,,,
