,date,Agartala,Agra,Aizwal,Amritsar,Asansol,Aurangabad,Bareilly,Belgaum,Bengaluru,Bhopal,Chandigarh,Chennai,Coimbatore,Dehradun,DurgBhilai,Faridabad,Gandhinagar,Gangtok,Ghaziabad,Gwalior,Hyderabad,Imphal,Indore,Jabalpur,Jaipur,Jalandhar,Jodhpur,Kanpur,Kochi,Kohima,Kolkata,Kota,Kozhikode,Lucknow,Ludhiana,Mangaluru,Meerut,Miami,Moradabad,Mumbai,Mysuru,Nashik,NewDelhi,Patna,Pondicherry,Prayagraj,Pune,Shillong,Solapur,Srinagar,Thiruvananthapuram,Varanasi,Vijaywada,Visakhapatnam
0,8/31/2002,117.69589,-9999,-9999,-9999,-9999,-9999,-9999,107.625965,-9999,-9999,-9999,111.584086,-9999,-9999,-9999,-9999,137.719326,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,106.927473,-9999,-9999,-9999,111.23484,-9999,-9999,102.27086,-9999,107.218511,-9999,138.767064,-9999,-9999,-9999,-9999,126.194209,-9999,114.378054,-9999,-9999,-9999,102.154445,-9999,132.364221,132.946298
1,9/1/2002,117.754098,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.240699,-9999,-9999,-9999,-9999,121.304765,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,120.373443,-9999,-9999,-9999,-9999,109.954271,-9999,105.181243,-9999,125.612132,-9999,-9999,-9999,120.024197,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,131.89856
2,9/3/2002,119.325705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,115.018338,-9999,114.087015,-9999,109.139364,-9999,-9999,114.552677,-9999,108.49908,-9999,130.501576,-9999,-9999,-9999,117.637683,-9999,-9999,-9999,123.16741,-9999,-9999,108.848326,-9999,-9999,-9999
3,9/5/2002,120.839104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,138.883479,-9999,-9999,-9999,-9999,126.194209,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,113.330316,-9999,119.034667,-9999,116.007868,-9999,-9999,112.573616,-9999,105.996151,-9999,116.764568,-9999,122.818165,-9999,-9999,-9999,-9999,131.316483,129.221007,-9999,-9999,109.430403,-9999,-9999,-9999
4,9/7/2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.749487,-9999,-9999,-9999,-9999,110.24531,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,107.160304,-9999,-9999,-9999,115.251169,-9999,-9999,115.833245,-9999,111.118425,-9999,109.954271,-9999,104.191713,-9999,-9999,122.003257,-9999,111.409463,136.671588,-9999,-9999,104.308128,-9999,122.468919,118.45259
5,9/9/2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,104.424544,-9999,-9999,-9999,117.870513,-9999,-9999,-9999,-9999,102.212653,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.633072,-9999,-9999,-9999,112.457201,-9999,-9999,120.489858,-9999,113.621354,-9999,105.123036,-9999,98.8948159,-9999,-9999,138.534233,-9999,99.5351002,-9999,-9999,-9999,110.885594,-9999,109.081157,122.294296
6,9/10/2002,136.089511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,92.1427272,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,115.658622,-9999,-9999,-9999,111.99154,-9999,-9999,109.721441,-9999,109.372195,-9999,110.885594,-9999,-9999,-9999,-9999,-9999,-9999,110.943802,-9999,-9999,-9999,127.474777,-9999,-9999,126.077794
7,9/12/2002,119.034667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,109.022949,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,112.398993,-9999,160.187483,-9999,118.627213,-9999,-9999,109.313987,-9999,-9999,-9999,111.875124,-9999,103.667844,-9999,153.318979,111.351255,-9999,112.049747,-9999,-9999,-9999,108.848326,-9999,-9999,-9999
8,9/14/2002,120.722689,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,113.097485,-9999,-9999,-9999,-9999,111.060217,-9999,-9999,-9999,-9999,126.543455,-9999,-9999,-9999,-9999,-9999,-9999,106.170774,-9999,121.18835,-9999,116.415322,-9999,-9999,112.107955,-9999,103.726052,-9999,110.827386,-9999,105.472282,-9999,-9999,121.770427,-9999,108.033419,121.18835,-9999,-9999,109.139364,-9999,117.113814,-9999
9,9/16/2002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,118.103344,-9999,-9999,-9999,125.844963,-9999,-9999,-9999,-9999,107.451342,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.124284,-9999,-9999,-9999,119.907781,-9999,-9999,113.9706,-9999,112.806447,-9999,111.758709,-9999,108.790118,-9999,-9999,134.343281,-9999,111.700501,-9999,-9999,-9999,109.313987,-9999,123.400241,141.444616
10,9/17/2002,116.648152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,106.461812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,121.654011,-9999,109.837856,-9999,-9999,108.557288,-9999,105.530489,-9999,111.409463,-9999,122.236088,-9999,125.961378,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124.01592
11,9/19/2002,142.725185,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.42704,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,113.621354,-9999,144.122168,-9999,113.679562,-9999,-9999,113.039277,-9999,107.043888,-9999,116.648152,-9999,-9999,-9999,121.770427,-9999,-9999,111.584086,-9999,-9999,-9999,115.309376,114.7273,-9999,-9999
