Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Agartala,09-30-17, M,19.41,1218132,49.47
Agartala,10-31-17, M,8.51,1468082,52.43
Agartala,11-30-17, M,8.35,1266700,45.08
Agartala,01-31-18, M,31.11,1399231,66.0
Agartala,02-28-18, M,30.23,1416297,65.85
Agartala,03-31-18, M,15.19,1301630,49.7
Agartala,04-30-18, M,13.55,1340371,50.12
Agartala,05-31-18, M,23.68,1441375,60.94
Agartala,06-30-18, M,22.13,1440654,59.58
Agartala,07-31-18, M,17.86,1330820,52.09
Agartala,08-31-18, M,27.43,1384626,61.23
Agartala,09-30-18, M,39.1,1375891,72.36
Agartala,10-31-18, M,32.43,1480505,70.05
Agartala,11-30-18, M,32.34,1408467,66.44
Agartala,12-31-18, M,27.34,1430316,62.71
Agartala,01-31-19, M,32.63,1434823,67.72
Agartala,02-28-19, M,26.16,1544426,66.4
Agartala,03-31-19, M,22.98,1449641,59.64
Agartala,04-30-19, M,25.43,1435520,60.89
Agartala,05-31-19, M,30.94,1442676,65.95
Agartala,06-30-19, M,26.36,1515751,64.87
Agartala,07-31-19, M,23.44,1463180,60.12
Agartala,08-31-19, M,27.86,1344478,58.52
Agartala,09-30-19, M,31.23,1452452,66.2
Agartala,10-31-19, M,27.31,1528572,65.79
Agartala,11-30-19, M,25.8,1512333,63.65
Agartala,12-31-19, M,28.59,1446305,63.14
Agartala,01-31-20, M,32.67,1508130,69.69
Agartala,02-29-20, M,28.4,1584686,68.74
Agartala,03-31-20, M,29.95,1511217,66.89
Agartala,04-30-20, M,41.23,971514,51.16
Agartala,05-31-20, M,21.51,1290986,50.81
Agartala,06-30-20, M,21.71,1494140,58.85
Agartala,07-31-20, M,18.24,1348849,50.78
Agartala,08-31-20, M,27.92,1318621,56.21
Agartala,09-30-20, M,17.35,1368244,50.77
Agartala,10-31-20, M,11.57,1576529,54.58
Agartala,11-30-20, M,13.06,1454568,51.13
Agartala,12-31-20, M,18.21,1389711,51.82
Agartala,01-31-21, M,18.15,1395070,51.89
Agartala,02-28-21, M,11.05,1629794,55.69
Agartala,03-31-21, M,13.94,1493608,52.65
Agartala,04-30-21, M,17.28,1436936,52.61
Agartala,05-31-21, M,19.93,1350783,50.99
Agartala,06-30-21, M,9.62,1651388,55.13
Agartala,07-31-21, M,13.34,1577784,54.83
Agartala,08-31-21, M,15.6,1497924,53.35
Agartala,09-30-21, M,15.28,1435595,50.85
Agartala,10-31-21, M,9.95,1682211,55.95
Agartala,11-30-21, M,13.41,1549956,53.52
Agartala,12-31-21, M,14.73,1516375,53.07
Agartala,01-31-22, M,17.14,1405691,50.53
Agartala,02-28-22, M,9.77,1577800,52.0
Agartala,03-31-22, M,14.08,1549348,53.53
Agartala,04-30-22, M,14.6,1529154,53.05
Agartala,05-31-22, M,17.35,1369861,49.02
Agartala,06-30-22, M,9.45,1617909,52.75
Agartala,07-31-22, M,13.01,1559377,52.82
