Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Bareilly,01-31-16, M,14.91,55745996,44.88
Bareilly,02-29-16, M,15.45,55421160,44.8
Bareilly,03-31-16, M,14.39,56956539,45.37
Bareilly,04-30-16, M,15.38,56075058,45.1
Bareilly,05-31-16, M,16.42,57530487,46.74
Bareilly,06-30-16, M,17.98,56695242,46.83
Bareilly,07-31-16, M,14.22,56653902,44.65
Bareilly,08-31-16, M,17.08,56479195,45.94
Bareilly,09-30-16, M,10.13,60547730,45.34
Bareilly,10-31-16, M,8.87,58878595,43.39
Bareilly,11-30-16, M,6.64,55870756,40.1
Bareilly,12-31-16, M,7.59,55423935,40.1
Bareilly,01-31-17, M,3.71,57004034,39.49
Bareilly,02-28-17, M,3.02,56657637,38.89
Bareilly,03-31-17, M,2.43,55173498,37.56
Bareilly,04-30-17, M,5.04,55104794,38.46
Bareilly,05-31-17, M,2.84,55762962,37.96
Bareilly,06-30-17, M,2.74,58190274,39.48
Bareilly,07-31-17, M,2.06,56207063,37.79
Bareilly,08-31-17, M,6.65,56156277,39.52
Bareilly,09-30-17, M,3.66,56279964,38.29
Bareilly,10-31-17, M,3.73,57974586,39.38
Bareilly,11-30-17, M,2.49,56092981,37.54
Bareilly,12-31-17, M,5.4,55321312,38.08
Bareilly,01-31-18, M,4.03,56584288,38.3
Bareilly,02-28-18, M,3.93,57593239,38.87
Bareilly,03-31-18, M,3.14,56809415,37.94
Bareilly,04-30-18, M,5.56,56525466,38.64
Bareilly,05-31-18, M,5.21,56869822,38.64
Bareilly,06-30-18, M,4.04,57795994,38.71
Bareilly,07-31-18, M,4.63,56798203,38.19
Bareilly,08-31-18, M,8.5,56361205,39.41
Bareilly,09-30-18, M,7.88,56621023,39.24
Bareilly,10-31-18, M,6.19,56735101,38.52
Bareilly,11-30-18, M,6.98,56398508,38.54
Bareilly,12-31-18, M,11.03,56170553,40.04
Bareilly,01-31-19, M,9.59,56136714,39.29
Bareilly,02-28-19, M,9.52,55641146,38.83
Bareilly,03-31-19, M,8.87,57027803,39.43
Bareilly,04-30-19, M,11.06,57829154,40.88
Bareilly,05-31-19, M,11.28,56679062,40.07
Bareilly,06-30-19, M,11.25,55900999,39.42
Bareilly,07-31-19, M,9.84,56559433,39.18
Bareilly,08-31-19, M,12.27,56878991,40.4
Bareilly,09-30-19, M,8.11,57838879,39.14
Bareilly,10-31-19, M,10.22,56771594,39.23
Bareilly,11-30-19, M,8.05,57390420,38.64
Bareilly,12-31-19, M,9.39,58497260,39.87
Bareilly,01-31-20, M,7.58,59433759,39.63
Bareilly,02-29-20, M,8.98,58060531,39.23
Bareilly,03-31-20, M,10.11,56976338,38.89
Bareilly,04-30-20, M,21.54,50915056,39.73
Bareilly,05-31-20, M,20.41,49801902,38.22
Bareilly,06-30-20, M,9.47,55380649,37.29
Bareilly,07-31-20, M,5.56,56201654,36.19
Bareilly,08-31-20, M,5.79,55831744,35.96
Bareilly,09-30-20, M,4.18,56106836,35.45
Bareilly,10-31-20, M,3.75,56539521,35.49
Bareilly,11-30-20, M,5.16,56720101,36.05
Bareilly,12-31-20, M,14.95,55796313,39.46
Bareilly,01-31-21, M,4.89,55124290,34.78
Bareilly,02-28-21, M,4.1,56568780,35.33
Bareilly,03-31-21, M,4.14,55834036,34.8
Bareilly,04-30-21, M,6.3,56962368,36.25
Bareilly,05-31-21, M,6.89,55829255,35.67
Bareilly,06-30-21, M,4.32,55933912,34.7
Bareilly,07-31-21, M,4.95,55247629,34.43
Bareilly,08-31-21, M,6.98,56472386,35.88
Bareilly,09-30-21, M,4.98,55224547,34.27
Bareilly,10-31-21, M,4.22,55516008,34.1
Bareilly,11-30-21, M,4.83,56435220,34.81
Bareilly,12-31-21, M,4.86,57314791,35.29
Bareilly,01-31-22, M,2.97,55591271,33.48
Bareilly,02-28-22, M,2.71,55367064,33.19
Bareilly,03-31-22, M,4.36,55481938,33.76
Bareilly,04-30-22, M,2.94,56316092,33.69
Bareilly,05-31-22, M,3.13,55032093,32.91
Bareilly,06-30-22, M,2.75,55312199,32.88
Bareilly,07-31-22, M,3.29,55047653,32.83
