Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Bengaluru,01-31-16, M,6.38,23141471,49.05
Bengaluru,02-29-16, M,5.27,22647222,47.35
Bengaluru,03-31-16, M,3.26,22105452,45.17
Bengaluru,04-30-16, M,4.94,22235918,46.15
Bengaluru,05-31-16, M,11.49,23357728,51.96
Bengaluru,06-30-16, M,3.07,23269877,47.18
Bengaluru,07-31-16, M,3.07,23578258,47.71
Bengaluru,08-31-16, M,4.07,23009464,46.95
Bengaluru,09-30-16, M,5.45,25360227,52.4
Bengaluru,10-31-16, M,5.83,24243552,50.2
Bengaluru,11-30-16, M,5.91,22858956,47.28
Bengaluru,12-31-16, M,4.61,24786846,50.46
Bengaluru,01-31-17, M,6.66,25020405,51.96
Bengaluru,02-28-17, M,5.21,24378353,49.76
Bengaluru,03-31-17, M,3.09,22519245,44.87
Bengaluru,04-30-17, M,1.35,24775272,48.4
Bengaluru,05-31-17, M,1.32,24589723,47.93
Bengaluru,06-30-17, M,1.27,23376442,45.46
Bengaluru,07-31-17, M,1.34,22164647,43.04
Bengaluru,08-31-17, M,1.04,25540685,49.35
Bengaluru,09-30-17, M,1.82,24088961,46.83
Bengaluru,10-31-17, M,1.27,24517534,47.3
Bengaluru,11-30-17, M,1.39,23710131,45.71
Bengaluru,12-31-17, M,2.63,23302782,45.4
Bengaluru,01-31-18, M,1.79,24678751,47.58
Bengaluru,02-28-18, M,3.32,23921489,46.76
Bengaluru,03-31-18, M,3.97,22842923,44.87
Bengaluru,04-30-18, M,2.28,23084607,44.47
Bengaluru,05-31-18, M,1.64,24285788,46.39
Bengaluru,06-30-18, M,2.87,24102028,46.53
Bengaluru,07-31-18, M,2.36,22160737,42.47
Bengaluru,08-31-18, M,1.46,22673269,42.97
Bengaluru,09-30-18, M,1.21,23461519,44.27
Bengaluru,10-31-18, M,2.11,23126629,43.95
Bengaluru,11-30-18, M,1.48,21787403,41.06
Bengaluru,12-31-18, M,1.22,21631436,40.58
Bengaluru,01-31-19, M,1.49,23072967,43.32
Bengaluru,02-28-19, M,2.0,22550688,42.48
Bengaluru,03-31-19, M,1.29,20755789,38.74
Bengaluru,04-30-19, M,0.53,21180297,39.15
Bengaluru,05-31-19, M,5.88,22549687,43.96
Bengaluru,06-30-19, M,5.58,21750997,42.19
Bengaluru,07-31-19, M,1.26,20907836,38.7
Bengaluru,08-31-19, M,0.74,21300805,39.14
Bengaluru,09-30-19, M,3.31,22397436,42.17
Bengaluru,10-31-19, M,5.83,21602775,41.68
Bengaluru,11-30-19, M,2.16,20151048,37.35
Bengaluru,12-31-19, M,0.88,21348507,38.98
Bengaluru,01-31-20, M,2.86,22688028,42.18
Bengaluru,02-29-20, M,3.61,21677719,40.54
Bengaluru,03-31-20, M,3.46,22079653,41.14
Bengaluru,04-30-20, M,29.84,16718395,42.78
Bengaluru,05-31-20, M,19.97,19397853,43.43
Bengaluru,06-30-20, M,8.44,24215057,47.29
Bengaluru,07-31-20, M,4.01,22885616,42.55
Bengaluru,08-31-20, M,0.5,24094289,43.13
Bengaluru,09-30-20, M,2.4,20131894,36.67
Bengaluru,10-31-20, M,1.58,22349602,40.28
Bengaluru,11-30-20, M,1.86,21714939,39.18
Bengaluru,12-31-20, M,1.39,22393716,40.13
Bengaluru,01-31-21, M,3.28,21869339,39.87
Bengaluru,02-28-21, M,2.5,22537746,40.69
Bengaluru,03-31-21, M,1.16,21854018,38.84
Bengaluru,04-30-21, M,2.03,23110478,41.36
Bengaluru,05-31-21, M,5.27,23612747,43.61
Bengaluru,06-30-21, M,5.55,22953054,42.43
Bengaluru,07-31-21, M,2.05,22332124,39.73
Bengaluru,08-31-21, M,1.49,22829342,40.3
Bengaluru,09-30-21, M,3.12,22163002,39.71
Bengaluru,10-31-21, M,1.51,24643524,43.34
Bengaluru,11-30-21, M,2.77,20836015,37.05
Bengaluru,12-31-21, M,1.44,22266608,38.98
Bengaluru,01-31-22, M,2.88,21975083,38.96
Bengaluru,02-28-22, M,1.98,23873003,41.86
Bengaluru,03-31-22, M,1.84,22451982,39.23
Bengaluru,04-30-22, M,2.71,22066947,38.82
Bengaluru,05-31-22, M,4.27,21372315,38.14
Bengaluru,06-30-22, M,3.66,22531645,39.87
Bengaluru,07-31-22, M,3.48,22259296,39.24
