Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Bhilai,01-31-16, M,2.38,8062186,41.83
Bhilai,02-29-16, M,4.9,8160104,43.37
Bhilai,03-31-16, M,3.07,8964452,46.64
Bhilai,04-30-16, M,3.09,8310606,43.15
Bhilai,05-31-16, M,5.41,8584637,45.56
Bhilai,06-30-16, M,4.6,8525708,44.77
Bhilai,07-31-16, M,4.53,9384490,49.13
Bhilai,08-31-16, M,3.3,8555054,44.12
Bhilai,09-30-16, M,7.9,9389548,50.73
Bhilai,10-31-16, M,3.81,10395187,53.65
Bhilai,11-30-16, M,4.52,9938956,51.56
Bhilai,12-31-16, M,4.84,8514136,44.22
Bhilai,01-31-17, M,4.13,8588739,44.18
Bhilai,02-28-17, M,2.8,9516327,48.18
Bhilai,03-31-17, M,3.06,9830840,49.79
Bhilai,04-30-17, M,4.51,8828474,45.29
Bhilai,05-31-17, M,4.5,8703496,44.55
Bhilai,06-30-17, M,2.04,8708894,43.36
Bhilai,07-31-17, M,1.24,9730235,47.94
Bhilai,08-31-17, M,4.0,8863490,44.83
Bhilai,09-30-17, M,4.75,8759506,44.55
Bhilai,10-31-17, M,3.02,9049363,45.1
Bhilai,11-30-17, M,3.28,9329292,46.52
Bhilai,12-31-17, M,1.54,9205573,44.99
Bhilai,01-31-18, M,6.72,8551446,44.01
Bhilai,02-28-18, M,2.61,8316869,40.92
Bhilai,03-31-18, M,3.2,8870407,43.81
Bhilai,04-30-18, M,2.06,8529349,41.54
Bhilai,05-31-18, M,4.34,8029058,39.95
Bhilai,06-30-18, M,2.44,8107650,39.46
Bhilai,07-31-18, M,3.38,8543548,41.89
Bhilai,08-31-18, M,2.59,8405219,40.79
Bhilai,09-30-18, M,22.24,8264838,50.13
Bhilai,10-31-18, M,12.68,8502477,45.82
Bhilai,11-30-18, M,5.51,8538469,42.43
Bhilai,12-31-18, M,4.73,8258913,40.61
Bhilai,01-31-19, M,7.87,8346885,42.35
Bhilai,02-28-19, M,7.29,8719835,43.88
Bhilai,03-31-19, M,3.71,9034510,43.67
Bhilai,04-30-19, M,3.44,8596924,41.35
Bhilai,05-31-19, M,9.8,8482147,43.57
Bhilai,06-30-19, M,8.06,8800644,44.26
Bhilai,07-31-19, M,5.48,9039059,44.11
Bhilai,08-31-19, M,5.08,9000093,43.64
Bhilai,09-30-19, M,8.63,8800594,44.23
Bhilai,10-31-19, M,7.8,9340935,46.42
Bhilai,11-30-19, M,4.23,9284214,44.32
Bhilai,12-31-19, M,5.44,8984824,43.34
Bhilai,01-31-20, M,9.65,8552172,43.08
Bhilai,02-29-20, M,8.38,9195114,45.58
Bhilai,03-31-20, M,7.54,9302317,45.59
Bhilai,04-30-20, M,3.41,7600448,35.58
Bhilai,05-31-20, M,10.5,6991217,35.23
Bhilai,06-30-20, M,14.23,7332807,38.48
Bhilai,07-31-20, M,10.27,8620294,43.14
Bhilai,08-31-20, M,5.63,9050422,42.97
Bhilai,09-30-20, M,1.99,9158315,41.77
Bhilai,10-31-20, M,6.66,8589223,41.05
Bhilai,11-30-20, M,3.38,8705350,40.1
Bhilai,12-31-20, M,7.2,8391157,40.15
Bhilai,01-31-21, M,6.38,8828785,41.78
Bhilai,02-28-21, M,5.99,8882237,41.77
Bhilai,03-31-21, M,2.69,8580167,38.89
Bhilai,04-30-21, M,3.04,9463460,42.96
Bhilai,05-31-21, M,8.03,9313760,44.47
Bhilai,06-30-21, M,2.57,9485491,42.66
Bhilai,07-31-21, M,3.25,8798367,39.76
Bhilai,08-31-21, M,3.78,8832789,40.04
Bhilai,09-30-21, M,4.44,8730656,39.76
Bhilai,10-31-21, M,3.05,9273796,41.54
Bhilai,11-30-21, M,1.78,9674618,42.68
Bhilai,12-31-21, M,2.15,9178194,40.55
Bhilai,01-31-22, M,2.95,8500938,37.78
Bhilai,02-28-22, M,1.71,9017314,39.49
Bhilai,03-31-22, M,0.62,9213563,39.81
Bhilai,04-30-22, M,0.63,9182412,39.6
Bhilai,05-31-22, M,0.71,9128904,39.3
Bhilai,06-30-22, M,1.2,9264877,40.0
Bhilai,07-31-22, M,0.81,9394165,40.31
