Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Coimbatore,01-31-16, M,7.59,30805567,55.23
Coimbatore,02-29-16, M,4.41,31278490,54.13
Coimbatore,03-31-16, M,11.6,30359801,56.73
Coimbatore,04-30-16, M,9.77,30660799,56.04
Coimbatore,05-31-16, M,9.11,30645647,55.52
Coimbatore,06-30-16, M,6.79,30171453,53.22
Coimbatore,07-31-16, M,8.53,30969081,55.57
Coimbatore,08-31-16, M,10.93,31978443,58.84
Coimbatore,09-30-16, M,18.4,30483125,61.13
Coimbatore,10-31-16, M,10.65,30783285,56.28
Coimbatore,11-30-16, M,6.0,30488813,52.91
Coimbatore,12-31-16, M,7.09,31379847,55.0
Coimbatore,01-31-17, M,12.55,30962576,57.57
Coimbatore,02-28-17, M,7.63,30800814,54.14
Coimbatore,03-31-17, M,4.18,30820227,52.14
Coimbatore,04-30-17, M,5.69,30815482,52.88
Coimbatore,05-31-17, M,3.67,30431940,51.05
Coimbatore,06-30-17, M,2.68,30258932,50.16
Coimbatore,07-31-17, M,3.18,30263412,50.35
Coimbatore,08-31-17, M,2.81,29487963,48.8
Coimbatore,09-30-17, M,3.08,30523117,50.57
Coimbatore,10-31-17, M,3.85,30030092,50.07
Coimbatore,11-30-17, M,3.0,30688529,50.64
Coimbatore,12-31-17, M,2.94,30532083,50.27
Coimbatore,01-31-18, M,2.4,30443984,49.77
Coimbatore,02-28-18, M,2.55,29243004,47.81
Coimbatore,03-31-18, M,3.03,29810179,48.9
Coimbatore,04-30-18, M,1.87,30027606,48.6
Coimbatore,05-31-18, M,2.08,30141678,48.81
Coimbatore,06-30-18, M,1.51,29200317,46.94
Coimbatore,07-31-18, M,2.56,29806640,48.35
Coimbatore,08-31-18, M,1.6,29456524,47.24
Coimbatore,09-30-18, M,1.8,28568698,45.84
Coimbatore,10-31-18, M,1.1,28284400,44.99
Coimbatore,11-30-18, M,3.02,29311576,47.48
Coimbatore,12-31-18, M,2.07,28063954,44.94
Coimbatore,01-31-19, M,2.25,27520190,44.08
Coimbatore,02-28-19, M,1.91,27638278,44.05
Coimbatore,03-31-19, M,1.72,28235810,44.84
Coimbatore,04-30-19, M,1.23,27490694,43.38
Coimbatore,05-31-19, M,0.94,27642770,43.42
Coimbatore,06-30-19, M,1.19,28694054,45.12
Coimbatore,07-31-19, M,4.83,28510351,46.47
Coimbatore,08-31-19, M,5.8,28397017,46.69
Coimbatore,09-30-19, M,1.8,26967205,42.46
Coimbatore,10-31-19, M,1.31,27819597,43.52
Coimbatore,11-30-19, M,2.54,27953384,44.21
Coimbatore,12-31-19, M,5.7,27617321,45.07
Coimbatore,01-31-20, M,1.57,26881641,41.96
Coimbatore,02-29-20, M,2.09,27570589,43.2
Coimbatore,03-31-20, M,6.4,26830768,43.91
Coimbatore,04-30-20, M,49.83,9719167,29.63
Coimbatore,05-31-20, M,33.16,11483256,26.23
Coimbatore,06-30-20, M,12.2,19096847,33.16
Coimbatore,07-31-20, M,6.81,24572827,40.13
Coimbatore,08-31-20, M,2.65,27046415,42.22
Coimbatore,09-30-20, M,5.0,23025845,36.77
Coimbatore,10-31-20, M,2.16,23651626,36.62
Coimbatore,11-30-20, M,1.15,24629525,37.68
Coimbatore,12-31-20, M,0.53,25020860,37.98
Coimbatore,01-31-21, M,3.99,22930424,36.0
Coimbatore,02-28-21, M,4.79,23539357,37.22
Coimbatore,03-31-21, M,3.02,24688097,38.26
Coimbatore,04-30-21, M,2.34,24591402,37.78
Coimbatore,05-31-21, M,27.97,14183803,29.5
Coimbatore,06-30-21, M,8.3,19876121,32.42
Coimbatore,07-31-21, M,4.78,24651814,38.66
Coimbatore,08-31-21, M,6.27,23991586,38.16
Coimbatore,09-30-21, M,7.0,22076645,35.34
Coimbatore,10-31-21, M,4.89,22604681,35.32
Coimbatore,11-30-21, M,5.13,24405134,38.17
Coimbatore,12-31-21, M,6.91,23072393,36.72
Coimbatore,01-31-22, M,5.3,22542644,35.21
Coimbatore,02-28-22, M,3.23,22265049,33.98
Coimbatore,03-31-22, M,4.13,23845915,36.67
Coimbatore,04-30-22, M,3.17,22836874,34.72
Coimbatore,05-31-22, M,3.09,21764549,33.01
Coimbatore,06-30-22, M,2.11,21898382,32.83
Coimbatore,07-31-22, M,2.97,24187335,36.52
