Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Dehradun,01-31-16, M,1.31,4445674,57.37
Dehradun,02-29-16, M,4.53,3639695,48.45
Dehradun,03-31-16, M,2.42,2979208,38.72
Dehradun,04-30-16, M,1.26,3983774,51.06
Dehradun,05-31-16, M,1.08,4800244,61.28
Dehradun,06-30-16, M,2.85,3465939,44.96
Dehradun,07-31-16, M,0.7,3195012,40.46
Dehradun,08-31-16, M,0.94,3471708,43.98
Dehradun,09-30-16, M,1.57,3306285,42.06
Dehradun,10-31-16, M,3.97,3211894,41.79
Dehradun,11-30-16, M,0.12,2813932,35.13
Dehradun,12-31-16, M,0.83,3432212,43.06
Dehradun,01-31-17, M,0.55,3721353,46.46
Dehradun,02-28-17, M,3.03,3300878,42.18
Dehradun,03-31-17, M,0.28,3007019,37.28
Dehradun,04-30-17, M,0.25,3203487,39.63
Dehradun,05-31-17, M,0.14,3226954,39.79
Dehradun,06-30-17, M,1.81,3099901,38.79
Dehradun,07-31-17, M,0.28,2939428,36.14
Dehradun,08-31-17, M,0.0,3220367,39.39
Dehradun,09-30-17, M,0.27,3130806,38.32
Dehradun,10-31-17, M,1.48,3010583,37.22
Dehradun,11-30-17, M,3.86,2999276,37.92
Dehradun,12-31-17, M,1.83,2809832,34.72
Dehradun,01-31-18, M,0.87,2784116,33.99
Dehradun,02-28-18, M,1.22,2984513,36.5
Dehradun,03-31-18, M,2.41,3007174,37.14
Dehradun,04-30-18, M,0.92,2775194,33.69
Dehradun,05-31-18, M,1.0,2833419,34.35
Dehradun,06-30-18, M,1.26,2901086,35.19
Dehradun,07-31-18, M,2.33,2947761,36.07
Dehradun,08-31-18, M,0.33,2734560,32.71
Dehradun,09-30-18, M,2.36,2804291,34.17
Dehradun,10-31-18, M,4.37,2852962,35.42
Dehradun,11-30-18, M,4.06,2900676,35.82
Dehradun,12-31-18, M,5.48,2775272,34.71
Dehradun,01-31-19, M,3.53,2879018,35.21
Dehradun,02-28-19, M,5.12,2852743,35.4
Dehradun,03-31-19, M,5.0,2852673,35.28
Dehradun,04-30-19, M,6.36,2732098,34.2
Dehradun,05-31-19, M,3.58,2784842,33.78
Dehradun,06-30-19, M,4.66,2928442,35.86
Dehradun,07-31-19, M,6.1,2860425,35.48
Dehradun,08-31-19, M,6.52,2735347,34.01
Dehradun,09-30-19, M,5.07,2868994,35.05
Dehradun,10-31-19, M,4.8,2952837,35.89
Dehradun,11-30-19, M,5.8,2912016,35.7
Dehradun,12-31-19, M,5.41,2792345,34.01
Dehradun,01-31-20, M,5.49,2711639,32.99
Dehradun,02-29-20, M,4.99,3020931,36.48
Dehradun,03-31-20, M,19.85,2539302,36.27
Dehradun,04-30-20, M,6.48,2720115,33.23
Dehradun,05-31-20, M,8.01,2694072,33.38
Dehradun,06-30-20, M,8.61,2656071,33.06
Dehradun,07-31-20, M,12.38,2938552,38.07
Dehradun,08-31-20, M,14.26,2717528,35.9
Dehradun,09-30-20, M,22.26,2695230,39.18
Dehradun,10-31-20, M,9.23,2739309,34.03
Dehradun,11-30-20, M,1.47,2447664,27.95
Dehradun,12-31-20, M,5.19,2647822,31.36
Dehradun,01-31-21, M,4.45,2531098,29.68
Dehradun,02-28-21, M,4.69,2775542,32.56
Dehradun,03-31-21, M,3.26,2511431,28.96
Dehradun,04-30-21, M,5.96,2852350,33.77
Dehradun,05-31-21, M,5.49,2447140,28.76
Dehradun,06-30-21, M,4.81,2822878,32.87
Dehradun,07-31-21, M,3.17,2531701,28.92
Dehradun,08-31-21, M,6.22,2774922,32.65
Dehradun,09-30-21, M,4.14,2524240,29.0
Dehradun,10-31-21, M,3.34,2872131,32.65
Dehradun,11-30-21, M,3.12,2605053,29.48
Dehradun,12-31-21, M,5.01,2780810,32.03
Dehradun,01-31-22, M,3.47,2600359,29.41
Dehradun,02-28-22, M,4.58,2723982,31.1
Dehradun,03-31-22, M,3.51,2464361,27.76
Dehradun,04-30-22, M,5.33,2755947,31.58
Dehradun,05-31-22, M,2.85,2575497,28.69
Dehradun,06-30-22, M,8.67,2707464,32.01
