Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Delhi,01-31-16, M,10.61,5482637,44.0
Delhi,02-29-16, M,10.84,4829996,38.78
Delhi,03-31-16, M,11.05,5513829,44.26
Delhi,04-30-16, M,6.3,5954845,45.28
Delhi,05-31-16, M,17.3,5523948,47.48
Delhi,06-30-16, M,15.68,5029744,42.3
Delhi,07-31-16, M,14.31,5328709,44.0
Delhi,08-31-16, M,6.85,5926344,44.9
Delhi,09-30-16, M,7.75,5430342,41.45
Delhi,10-31-16, M,11.55,5189367,41.21
Delhi,11-30-16, M,11.5,5522477,43.73
Delhi,12-31-16, M,11.32,5667635,44.68
Delhi,01-31-17, M,10.76,5283788,41.3
Delhi,02-28-17, M,12.09,5197662,41.15
Delhi,03-31-17, M,10.58,5166584,40.12
Delhi,04-30-17, M,7.42,5623114,42.07
Delhi,05-31-17, M,5.28,5362886,39.13
Delhi,06-30-17, M,3.76,5287746,37.88
Delhi,07-31-17, M,3.19,5159575,36.66
Delhi,08-31-17, M,6.8,5333841,39.27
Delhi,09-30-17, M,4.45,5108559,36.6
Delhi,10-31-17, M,3.67,5543827,39.3
Delhi,11-30-17, M,2.11,5325547,37.07
Delhi,12-31-17, M,5.61,5466654,39.37
Delhi,01-31-18, M,2.24,5473606,37.97
Delhi,02-28-18, M,1.57,5601495,38.5
Delhi,03-31-18, M,3.0,5137138,35.75
Delhi,04-30-18, M,3.6,5401058,37.73
Delhi,05-31-18, M,8.75,5349651,39.38
Delhi,06-30-18, M,8.99,5380924,39.62
Delhi,07-31-18, M,7.51,5297063,38.29
Delhi,08-31-18, M,12.32,5481518,41.7
Delhi,09-30-18, M,12.49,5709710,43.41
Delhi,10-31-18, M,10.0,5348642,39.45
Delhi,11-30-18, M,12.04,5551045,41.79
Delhi,12-31-18, M,9.59,5900135,43.11
Delhi,01-31-19, M,12.18,6006259,45.07
Delhi,02-28-19, M,11.56,5456349,40.57
Delhi,03-31-19, M,13.05,5471499,41.28
Delhi,04-30-19, M,8.37,5615928,40.11
Delhi,05-31-19, M,12.32,5925960,44.12
Delhi,06-30-19, M,12.67,5699248,42.5
Delhi,07-31-19, M,14.58,5559698,42.28
Delhi,08-31-19, M,13.61,5687918,42.67
Delhi,09-30-19, M,20.38,5808310,47.16
Delhi,10-31-19, M,12.49,6179875,45.54
Delhi,11-30-19, M,15.96,5618368,43.01
Delhi,12-31-19, M,11.23,5864011,42.4
Delhi,01-31-20, M,22.23,5805284,47.79
Delhi,02-29-20, M,14.84,5856307,43.92
Delhi,03-31-20, M,17.04,5553805,42.65
Delhi,04-30-20, M,16.68,3119274,23.8
Delhi,05-31-20, M,42.27,2632404,28.91
Delhi,06-30-20, M,18.19,4418914,34.17
Delhi,07-31-20, M,20.3,4291053,33.97
Delhi,08-31-20, M,13.79,4850107,35.41
Delhi,09-30-20, M,12.53,4958373,35.59
Delhi,10-31-20, M,6.27,4842698,32.36
Delhi,11-30-20, M,6.57,5058039,33.83
Delhi,12-31-20, M,7.56,5341068,36.01
Delhi,01-31-21, M,12.51,5157974,36.65
Delhi,02-28-21, M,7.99,5176344,34.9
Delhi,03-31-21, M,9.41,5123006,35.0
Delhi,04-30-21, M,27.32,4160172,35.33
Delhi,05-31-21, M,45.56,2879334,32.56
Delhi,06-30-21, M,8.8,5089957,34.28
Delhi,07-31-21, M,10.7,5013429,34.4
Delhi,08-31-21, M,11.57,5058858,34.97
Delhi,09-30-21, M,16.81,5232193,38.35
Delhi,10-31-21, M,10.97,5389286,36.82
Delhi,11-30-21, M,9.3,4983968,33.34
Delhi,12-31-21, M,9.84,5180463,34.77
Delhi,01-31-22, M,14.08,5363152,37.68
Delhi,02-28-22, M,9.31,5359184,35.59
Delhi,03-31-22, M,8.86,5171901,34.09
Delhi,04-30-22, M,11.18,5376548,36.28
Delhi,05-31-22, M,13.64,5432451,37.6
Delhi,06-30-22, M,10.28,5327114,35.4
Delhi,07-31-22, M,8.92,5215741,34.06
