Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Faridabad,01-31-16, M,14.82,7990833,46.62
Faridabad,02-29-16, M,11.83,7984203,44.91
Faridabad,03-31-16, M,10.4,8061205,44.53
Faridabad,04-30-16, M,13.57,7932826,45.33
Faridabad,05-31-16, M,10.78,8213227,45.36
Faridabad,06-30-16, M,11.67,7666571,42.68
Faridabad,07-31-16, M,9.54,7652062,41.51
Faridabad,08-31-16, M,14.5,7907110,45.29
Faridabad,09-30-16, M,6.67,8100227,42.41
Faridabad,10-31-16, M,9.77,7837746,42.35
Faridabad,11-30-16, M,7.22,7818449,41.0
Faridabad,12-31-16, M,15.38,7361348,42.24
Faridabad,01-31-17, M,7.23,7809719,40.79
Faridabad,02-28-17, M,8.11,7801926,41.06
Faridabad,03-31-17, M,3.41,7360173,36.77
Faridabad,04-30-17, M,2.04,7179748,35.29
Faridabad,05-31-17, M,2.71,7574585,37.41
Faridabad,06-30-17, M,4.2,7714861,38.61
Faridabad,07-31-17, M,5.51,7325990,37.1
Faridabad,08-31-17, M,1.76,7373641,35.84
Faridabad,09-30-17, M,12.3,7950912,43.2
Faridabad,10-31-17, M,14.32,7838315,43.49
Faridabad,11-30-17, M,13.96,7482687,41.26
Faridabad,12-31-17, M,19.57,7430980,43.74
Faridabad,01-31-18, M,13.21,7813868,42.53
Faridabad,02-28-18, M,15.52,7650882,42.7
Faridabad,03-31-18, M,12.76,7369184,39.74
Faridabad,04-30-18, M,21.41,7269591,43.43
Faridabad,05-31-18, M,15.21,7615814,42.08
Faridabad,06-30-18, M,16.67,7656500,42.96
Faridabad,07-31-18, M,14.93,7383964,40.49
Faridabad,08-31-18, M,23.14,7337554,44.44
Faridabad,09-30-18, M,17.21,7722620,43.33
Faridabad,10-31-18, M,18.7,7774535,44.33
Faridabad,11-30-18, M,18.97,7185680,41.02
Faridabad,12-31-18, M,24.51,7237817,44.26
Faridabad,01-31-19, M,17.89,7695203,43.17
Faridabad,02-28-19, M,21.29,7579380,44.27
Faridabad,03-31-19, M,18.99,7112728,40.27
Faridabad,04-30-19, M,26.39,7120484,44.28
Faridabad,05-31-19, M,18.27,7942782,44.39
Faridabad,06-30-19, M,22.1,7590368,44.41
Faridabad,07-31-19, M,19.53,7232533,40.88
Faridabad,08-31-19, M,28.68,7081312,45.06
Faridabad,09-30-19, M,20.19,7815959,44.35
Faridabad,10-31-19, M,23.04,7620290,44.75
Faridabad,11-30-19, M,20.36,7280003,41.23
Faridabad,12-31-19, M,27.56,7152316,44.43
Faridabad,01-31-20, M,20.34,7693231,43.36
Faridabad,02-29-20, M,25.77,7322942,44.21
Faridabad,03-31-20, M,25.05,6641555,39.63
Faridabad,04-30-20, M,43.22,5647630,44.38
Faridabad,05-31-20, M,29.02,6437868,40.39
Faridabad,06-30-20, M,26.7,6951934,42.14
Faridabad,07-31-20, M,24.18,6800652,39.77
Faridabad,08-31-20, M,33.5,7113788,47.32
Faridabad,09-30-20, M,19.33,7190435,39.35
Faridabad,10-31-20, M,27.32,6686733,40.53
Faridabad,11-30-20, M,25.61,7054038,41.68
Faridabad,12-31-20, M,32.49,6723049,43.69
Faridabad,01-31-21, M,17.65,7510342,39.92
Faridabad,02-28-21, M,26.31,6808544,40.36
Faridabad,03-31-21, M,27.58,7255469,43.67
Faridabad,04-30-21, M,35.13,6860556,46.0
Faridabad,05-31-21, M,28.73,6425654,39.13
Faridabad,06-30-21, M,27.84,6772377,40.65
Faridabad,07-31-21, M,28.08,6997825,42.05
Faridabad,08-31-21, M,35.7,6933829,46.51
Faridabad,09-30-21, M,21.13,7360554,40.16
Faridabad,10-31-21, M,30.69,6828800,42.31
Faridabad,11-30-21, M,29.2,7024063,42.51
Faridabad,12-31-21, M,34.07,7149677,46.37
Faridabad,01-31-22, M,23.36,7408951,41.25
Faridabad,02-28-22, M,30.94,6895203,42.52
Faridabad,03-31-22, M,26.5,7009253,40.52
Faridabad,04-30-22, M,34.48,7122831,46.1
Faridabad,05-31-22, M,24.6,7351377,41.25
Faridabad,06-30-22, M,30.59,6785147,41.27
Faridabad,07-31-22, M,26.94,7055745,40.69
