Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Gandhinagar,01-31-16, M,3.44,21488124,46.35
Gandhinagar,02-29-16, M,4.12,21120270,45.8
Gandhinagar,03-31-16, M,4.07,21774339,47.1
Gandhinagar,04-30-16, M,3.3,22470289,48.13
Gandhinagar,05-31-16, M,2.63,23071104,48.98
Gandhinagar,06-30-16, M,2.92,21713869,46.15
Gandhinagar,07-31-16, M,2.68,22310023,47.21
Gandhinagar,08-31-16, M,1.38,21965447,45.78
Gandhinagar,09-30-16, M,2.0,22685230,47.48
Gandhinagar,10-31-16, M,1.28,22966016,47.63
Gandhinagar,11-30-16, M,2.2,22639797,47.3
Gandhinagar,12-31-16, M,5.04,21905325,47.04
Gandhinagar,01-31-17, M,1.98,22728175,47.19
Gandhinagar,02-28-17, M,1.33,22336849,45.99
Gandhinagar,03-31-17, M,4.28,21651839,45.87
Gandhinagar,04-30-17, M,3.66,21957451,46.13
Gandhinagar,05-31-17, M,1.95,21823962,44.96
Gandhinagar,06-30-17, M,2.86,22108034,45.89
Gandhinagar,07-31-17, M,3.55,21408478,44.66
Gandhinagar,08-31-17, M,2.57,22329321,46.02
Gandhinagar,09-30-17, M,3.87,21125763,44.05
Gandhinagar,10-31-17, M,5.4,21666730,45.82
Gandhinagar,11-30-17, M,2.8,22428715,46.08
Gandhinagar,12-31-17, M,1.36,22667259,45.79
Gandhinagar,01-31-18, M,2.93,21445588,43.94
Gandhinagar,02-28-18, M,9.53,21756349,47.74
Gandhinagar,03-31-18, M,4.73,22601847,47.01
Gandhinagar,04-30-18, M,4.98,22884860,47.63
Gandhinagar,05-31-18, M,5.06,20769407,43.18
Gandhinagar,06-30-18, M,6.47,21502364,45.29
Gandhinagar,07-31-18, M,4.54,22738160,46.83
Gandhinagar,08-31-18, M,3.58,23304754,47.43
Gandhinagar,09-30-18, M,4.34,22015881,45.08
Gandhinagar,10-31-18, M,7.4,22389433,47.26
Gandhinagar,11-30-18, M,5.09,23778766,48.88
Gandhinagar,12-31-18, M,3.66,23705055,47.91
Gandhinagar,01-31-19, M,5.8,23754560,49.0
Gandhinagar,02-28-19, M,5.54,23789056,48.86
Gandhinagar,03-31-19, M,4.53,24364847,49.41
Gandhinagar,04-30-19, M,3.0,24177961,48.16
Gandhinagar,05-31-19, M,3.38,23641286,47.19
Gandhinagar,06-30-19, M,5.45,23344240,47.52
Gandhinagar,07-31-19, M,4.81,24155108,48.75
Gandhinagar,08-31-19, M,3.92,23735498,47.36
Gandhinagar,09-30-19, M,6.15,22889629,46.67
Gandhinagar,10-31-19, M,5.15,24302741,48.93
Gandhinagar,11-30-19, M,5.86,24383939,49.37
Gandhinagar,12-31-19, M,4.42,24050638,47.87
Gandhinagar,01-31-20, M,5.54,24126346,48.49
Gandhinagar,02-29-20, M,6.38,24757795,50.11
Gandhinagar,03-31-20, M,6.66,23566641,47.75
Gandhinagar,04-30-20, M,18.71,15288878,35.5
Gandhinagar,05-31-20, M,12.11,17836936,38.23
Gandhinagar,06-30-20, M,3.2,23657055,45.96
Gandhinagar,07-31-20, M,1.84,24276120,46.41
Gandhinagar,08-31-20, M,1.87,22817232,43.55
Gandhinagar,09-30-20, M,3.41,24978668,48.34
Gandhinagar,10-31-20, M,4.03,25970259,50.49
Gandhinagar,11-30-20, M,3.86,24161076,46.79
Gandhinagar,12-31-20, M,3.05,21483898,41.18
Gandhinagar,01-31-21, M,3.19,24009720,46.0
Gandhinagar,02-28-21, M,3.17,24070070,46.02
Gandhinagar,03-31-21, M,2.16,24357415,46.0
Gandhinagar,04-30-21, M,1.77,24320086,45.66
Gandhinagar,05-31-21, M,2.34,24179141,45.57
Gandhinagar,06-30-21, M,1.79,24842134,46.46
Gandhinagar,07-31-21, M,1.82,25227354,47.1
Gandhinagar,08-31-21, M,1.61,23838107,44.33
Gandhinagar,09-30-21, M,1.29,25252205,46.71
Gandhinagar,10-31-21, M,2.39,25890884,48.34
Gandhinagar,11-30-21, M,1.45,25500373,47.06
Gandhinagar,12-31-21, M,1.63,24770121,45.71
Gandhinagar,01-31-22, M,1.17,25174157,46.15
Gandhinagar,02-28-22, M,2.47,26662328,49.44
Gandhinagar,03-31-22, M,1.8,25308074,46.51
Gandhinagar,04-30-22, M,1.55,25492174,46.64
Gandhinagar,05-31-22, M,2.1,25400738,46.64
Gandhinagar,06-30-22, M,3.01,25247094,46.7
Gandhinagar,07-31-22, M,2.24,25906215,47.45
