Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Hyderabad,01-31-16, M,7.36,17815321,66.91
Hyderabad,02-29-16, M,4.67,16508460,60.14
Hyderabad,03-31-16, M,4.76,15830168,57.62
Hyderabad,04-30-16, M,6.49,17066847,63.15
Hyderabad,05-31-16, M,6.3,16361651,60.31
Hyderabad,06-30-16, M,8.53,13940938,52.54
Hyderabad,07-31-16, M,4.64,14246163,51.4
Hyderabad,08-31-16, M,4.1,17057209,61.08
Hyderabad,09-30-16, M,3.69,15686245,55.83
Hyderabad,10-31-16, M,7.48,15577069,57.61
Hyderabad,11-30-16, M,4.83,16339639,58.63
Hyderabad,12-31-16, M,4.6,17562401,62.75
Hyderabad,01-31-17, M,5.23,14693047,52.75
Hyderabad,02-28-17, M,14.47,14393489,57.15
Hyderabad,03-31-17, M,5.38,17750002,63.59
Hyderabad,04-30-17, M,2.59,16709603,58.04
Hyderabad,05-31-17, M,3.38,14706639,51.4
Hyderabad,06-30-17, M,12.94,14332462,55.5
Hyderabad,07-31-17, M,4.71,15170845,53.56
Hyderabad,08-31-17, M,1.98,16297243,55.83
Hyderabad,09-30-17, M,2.42,14134302,48.55
Hyderabad,10-31-17, M,4.05,14173236,49.42
Hyderabad,11-30-17, M,2.83,17340383,59.59
Hyderabad,12-31-17, M,2.74,17360562,59.49
Hyderabad,01-31-18, M,4.0,14531233,50.35
Hyderabad,02-28-18, M,3.43,15226578,52.36
Hyderabad,03-31-18, M,3.62,15861778,54.55
Hyderabad,04-30-18, M,1.97,14615094,49.33
Hyderabad,05-31-18, M,0.97,14067425,46.91
Hyderabad,06-30-18, M,1.19,15242436,50.85
Hyderabad,07-31-18, M,0.75,16613504,55.07
Hyderabad,08-31-18, M,0.49,15788971,52.1
Hyderabad,09-30-18, M,0.44,16593024,54.63
Hyderabad,10-31-18, M,0.94,14672276,48.45
Hyderabad,11-30-18, M,0.52,16996261,55.79
Hyderabad,12-31-18, M,0.94,15232136,50.11
Hyderabad,01-31-19, M,2.61,16647293,55.6
Hyderabad,02-28-19, M,2.38,15556530,51.74
Hyderabad,03-31-19, M,2.48,16619084,55.23
Hyderabad,04-30-19, M,2.66,15128939,50.28
Hyderabad,05-31-19, M,1.99,16614003,54.73
Hyderabad,06-30-19, M,4.41,16412169,55.34
Hyderabad,07-31-19, M,2.86,16971193,56.2
Hyderabad,08-31-19, M,2.37,16288655,53.56
Hyderabad,09-30-19, M,4.82,17084091,57.52
Hyderabad,10-31-19, M,7.11,16693687,57.48
Hyderabad,11-30-19, M,6.07,16603948,56.44
Hyderabad,12-31-19, M,2.3,16385834,53.44
Hyderabad,01-31-20, M,5.49,17609295,59.25
Hyderabad,02-29-20, M,8.29,16825970,58.24
Hyderabad,03-31-20, M,5.77,17341613,58.31
Hyderabad,04-30-20, M,6.25,12172230,41.06
Hyderabad,05-31-20, M,14.7,14977774,55.43
Hyderabad,06-30-20, M,10.55,15108910,53.22
Hyderabad,07-31-20, M,5.36,15679417,52.1
Hyderabad,08-31-20, M,5.79,18185429,60.59
Hyderabad,09-30-20, M,3.27,16958984,54.93
Hyderabad,10-31-20, M,2.93,17417825,56.11
Hyderabad,11-30-20, M,1.56,17190976,54.51
Hyderabad,12-31-20, M,7.05,13239092,44.37
Hyderabad,01-31-21, M,4.26,16304175,52.95
Hyderabad,02-28-21, M,5.58,16040348,52.73
Hyderabad,03-31-21, M,3.67,16373619,52.65
Hyderabad,04-30-21, M,5.05,14105009,45.94
Hyderabad,05-31-21, M,7.2,16891260,56.18
Hyderabad,06-30-21, M,4.78,15077504,48.78
Hyderabad,07-31-21, M,4.01,16094158,51.55
Hyderabad,08-31-21, M,4.66,16234011,52.25
Hyderabad,09-30-21, M,3.63,16852051,53.56
Hyderabad,10-31-21, M,4.13,16904140,53.9
Hyderabad,11-30-21, M,4.14,16193012,51.54
Hyderabad,12-31-21, M,2.16,17128340,53.32
Hyderabad,01-31-22, M,0.69,16099871,49.28
Hyderabad,02-28-22, M,12.95,14999753,52.28
Hyderabad,03-31-22, M,6.55,16077052,52.1
Hyderabad,04-30-22, M,9.91,16573703,55.61
Hyderabad,05-31-22, M,9.38,16829246,56.03
Hyderabad,06-30-22, M,9.99,13673720,45.75
Hyderabad,07-31-22, M,5.83,13300384,42.45
