Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Indore,01-31-16, M,4.07,25565126,48.6
Indore,02-29-16, M,4.36,21964907,41.79
Indore,03-31-16, M,6.62,20672491,40.2
Indore,04-30-16, M,8.73,21505008,42.69
Indore,05-31-16, M,6.63,25480320,49.33
Indore,06-30-16, M,2.86,22389513,41.58
Indore,07-31-16, M,11.82,20296986,41.43
Indore,08-31-16, M,9.97,20877809,41.65
Indore,09-30-16, M,7.06,24055017,46.39
Indore,10-31-16, M,5.31,23537779,44.45
Indore,11-30-16, M,7.96,20697502,40.12
Indore,12-31-16, M,3.38,21180110,39.03
Indore,01-31-17, M,3.52,23428418,43.14
Indore,02-28-17, M,3.41,23576557,43.27
Indore,03-31-17, M,4.88,22914026,42.61
Indore,04-30-17, M,2.31,20990867,37.93
Indore,05-31-17, M,2.02,23569924,42.37
Indore,06-30-17, M,1.54,24586573,43.88
Indore,07-31-17, M,1.18,23801483,42.23
Indore,08-31-17, M,1.33,21899358,38.83
Indore,09-30-17, M,1.27,23015166,40.7
Indore,10-31-17, M,1.64,22376267,39.63
Indore,11-30-17, M,4.34,22191934,40.32
Indore,12-31-17, M,2.6,23580932,41.99
Indore,01-31-18, M,2.98,21933653,39.12
Indore,02-28-18, M,2.78,22532271,40.03
Indore,03-31-18, M,5.0,22556962,40.91
Indore,04-30-18, M,3.18,22954705,40.77
Indore,05-31-18, M,2.02,21790698,38.16
Indore,06-30-18, M,2.59,22011650,38.68
Indore,07-31-18, M,4.24,22106279,39.43
Indore,08-31-18, M,6.21,23016950,41.83
Indore,09-30-18, M,3.64,21613322,38.14
Indore,10-31-18, M,7.29,21424091,39.21
Indore,11-30-18, M,6.53,21490622,38.93
Indore,12-31-18, M,6.98,22190073,40.3
Indore,01-31-19, M,4.76,21924819,38.81
Indore,02-28-19, M,6.47,22356536,40.21
Indore,03-31-19, M,5.4,22063401,39.15
Indore,04-30-19, M,6.47,22362845,40.05
Indore,05-31-19, M,3.72,22042549,38.26
Indore,06-30-19, M,4.86,22804132,39.97
Indore,07-31-19, M,4.91,22541149,39.44
Indore,08-31-19, M,5.5,23368979,41.06
Indore,09-30-19, M,4.37,22882648,39.64
Indore,10-31-19, M,3.38,23664352,40.49
Indore,11-30-19, M,3.69,22765882,38.99
Indore,12-31-19, M,3.9,23642051,40.49
Indore,01-31-20, M,4.11,23018632,39.42
Indore,02-29-20, M,4.57,22711479,39.0
Indore,03-31-20, M,2.22,22867164,38.24
Indore,04-30-20, M,12.36,19041832,35.45
Indore,05-31-20, M,21.98,18443927,38.48
Indore,06-30-20, M,6.48,23054646,40.04
Indore,07-31-20, M,5.08,23940158,40.88
Indore,08-31-20, M,4.7,23619011,40.08
Indore,09-30-20, M,3.93,23396559,39.3
Indore,10-31-20, M,3.26,23109279,38.46
Indore,11-30-20, M,4.34,24437387,41.04
Indore,12-31-20, M,3.99,23864423,39.85
Indore,01-31-21, M,6.15,23183713,39.51
Indore,02-28-21, M,2.02,22589307,36.8
Indore,03-31-21, M,1.5,24004347,38.82
Indore,04-30-21, M,1.35,22705824,36.58
Indore,05-31-21, M,5.16,21795692,36.44
Indore,06-30-21, M,2.34,22680487,36.75
Indore,07-31-21, M,2.3,24438028,39.49
Indore,08-31-21, M,3.49,23825304,38.89
Indore,09-30-21, M,3.09,23749761,38.53
Indore,10-31-21, M,1.82,23093728,36.89
Indore,11-30-21, M,1.56,24396190,38.79
Indore,12-31-21, M,3.37,24112509,38.97
Indore,01-31-22, M,2.95,23342443,37.48
Indore,02-28-22, M,2.82,22384212,35.82
Indore,03-31-22, M,1.59,23966634,37.79
Indore,04-30-22, M,1.61,23777291,37.41
Indore,05-31-22, M,1.65,23450391,36.83
Indore,06-30-22, M,0.49,22779119,35.28
Indore,07-31-22, M,1.99,23996550,37.66
