Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Moradabad,01-31-16, M,14.91,55745996,44.88
Moradabad,02-29-16, M,15.45,55421160,44.8
Moradabad,03-31-16, M,14.39,56956539,45.37
Moradabad,04-30-16, M,15.38,56075058,45.1
Moradabad,05-31-16, M,16.42,57530487,46.74
Moradabad,06-30-16, M,17.98,56695242,46.83
Moradabad,07-31-16, M,14.22,56653902,44.65
Moradabad,08-31-16, M,17.08,56479195,45.94
Moradabad,09-30-16, M,10.13,60547730,45.34
Moradabad,10-31-16, M,8.87,58878595,43.39
Moradabad,11-30-16, M,6.64,55870756,40.1
Moradabad,12-31-16, M,7.59,55423935,40.1
Moradabad,01-31-17, M,3.71,57004034,39.49
Moradabad,02-28-17, M,3.02,56657637,38.89
Moradabad,03-31-17, M,2.43,55173498,37.56
Moradabad,04-30-17, M,5.04,55104794,38.46
Moradabad,05-31-17, M,2.84,55762962,37.96
Moradabad,06-30-17, M,2.74,58190274,39.48
Moradabad,07-31-17, M,2.06,56207063,37.79
Moradabad,08-31-17, M,6.65,56156277,39.52
Moradabad,09-30-17, M,3.66,56279964,38.29
Moradabad,10-31-17, M,3.73,57974586,39.38
Moradabad,11-30-17, M,2.49,56092981,37.54
Moradabad,12-31-17, M,5.4,55321312,38.08
Moradabad,01-31-18, M,4.03,56584288,38.3
Moradabad,02-28-18, M,3.93,57593239,38.87
Moradabad,03-31-18, M,3.14,56809415,37.94
Moradabad,04-30-18, M,5.56,56525466,38.64
Moradabad,05-31-18, M,5.21,56869822,38.64
Moradabad,06-30-18, M,4.04,57795994,38.71
Moradabad,07-31-18, M,4.63,56798203,38.19
Moradabad,08-31-18, M,8.5,56361205,39.41
Moradabad,09-30-18, M,7.88,56621023,39.24
Moradabad,10-31-18, M,6.19,56735101,38.52
Moradabad,11-30-18, M,6.98,56398508,38.54
Moradabad,12-31-18, M,11.03,56170553,40.04
Moradabad,01-31-19, M,9.59,56136714,39.29
Moradabad,02-28-19, M,9.52,55641146,38.83
Moradabad,03-31-19, M,8.87,57027803,39.43
Moradabad,04-30-19, M,11.06,57829154,40.88
Moradabad,05-31-19, M,11.28,56679062,40.07
Moradabad,06-30-19, M,11.25,55900999,39.42
Moradabad,07-31-19, M,9.84,56559433,39.18
Moradabad,08-31-19, M,12.27,56878991,40.4
Moradabad,09-30-19, M,8.11,57838879,39.14
Moradabad,10-31-19, M,10.22,56771594,39.23
Moradabad,11-30-19, M,8.05,57390420,38.64
Moradabad,12-31-19, M,9.39,58497260,39.87
Moradabad,01-31-20, M,7.58,59433759,39.63
Moradabad,02-29-20, M,8.98,58060531,39.23
Moradabad,03-31-20, M,10.11,56976338,38.89
Moradabad,04-30-20, M,21.54,50915056,39.73
Moradabad,05-31-20, M,20.41,49801902,38.22
Moradabad,06-30-20, M,9.47,55380649,37.29
Moradabad,07-31-20, M,5.56,56201654,36.19
Moradabad,08-31-20, M,5.79,55831744,35.96
Moradabad,09-30-20, M,4.18,56106836,35.45
Moradabad,10-31-20, M,3.75,56539521,35.49
Moradabad,11-30-20, M,5.16,56720101,36.05
Moradabad,12-31-20, M,14.95,55796313,39.46
Moradabad,01-31-21, M,4.89,55124290,34.78
Moradabad,02-28-21, M,4.1,56568780,35.33
Moradabad,03-31-21, M,4.14,55834036,34.8
Moradabad,04-30-21, M,6.3,56962368,36.25
Moradabad,05-31-21, M,6.89,55829255,35.67
Moradabad,06-30-21, M,4.32,55933912,34.7
Moradabad,07-31-21, M,4.95,55247629,34.43
Moradabad,08-31-21, M,6.98,56472386,35.88
Moradabad,09-30-21, M,4.98,55224547,34.27
Moradabad,10-31-21, M,4.22,55516008,34.1
Moradabad,11-30-21, M,4.83,56435220,34.81
Moradabad,12-31-21, M,4.86,57314791,35.29
Moradabad,01-31-22, M,2.97,55591271,33.48
Moradabad,02-28-22, M,2.71,55367064,33.19
Moradabad,03-31-22, M,4.36,55481938,33.76
Moradabad,04-30-22, M,2.94,56316092,33.69
Moradabad,05-31-22, M,3.13,55032093,32.91
Moradabad,06-30-22, M,2.75,55312199,32.88
Moradabad,07-31-22, M,3.29,55047653,32.83
