Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Patna,01-31-16, M,4.36,28057185,41.53
Patna,02-29-16, M,6.71,30498497,46.19
Patna,03-31-16, M,3.46,27221171,39.75
Patna,04-30-16, M,6.38,29658522,44.57
Patna,05-31-16, M,14.02,28478123,46.5
Patna,06-30-16, M,9.85,30522107,47.43
Patna,07-31-16, M,6.18,27690621,41.26
Patna,08-31-16, M,13.0,29464621,47.24
Patna,09-30-16, M,15.07,27765395,45.5
Patna,10-31-16, M,6.96,28984634,43.27
Patna,11-30-16, M,6.85,28112295,41.82
Patna,12-31-16, M,4.63,29200982,42.34
Patna,01-31-17, M,5.52,27676967,40.42
Patna,02-28-17, M,3.96,29083045,41.7
Patna,03-31-17, M,2.86,27673248,39.15
Patna,04-30-17, M,1.57,28233171,39.33
Patna,05-31-17, M,2.53,29318241,41.16
Patna,06-30-17, M,1.94,29629790,41.26
Patna,07-31-17, M,1.97,27760196,38.58
Patna,08-31-17, M,3.57,27711437,39.06
Patna,09-30-17, M,5.1,28123701,40.2
Patna,10-31-17, M,5.04,28631228,40.81
Patna,11-30-17, M,4.91,28158520,40.0
Patna,12-31-17, M,5.31,28012830,39.87
Patna,01-31-18, M,4.07,29478932,41.33
Patna,02-28-18, M,7.05,28747971,41.51
Patna,03-31-18, M,10.21,27605523,41.18
Patna,04-30-18, M,7.97,27392078,39.78
Patna,05-31-18, M,5.07,28900697,40.6
Patna,06-30-18, M,7.6,28041995,40.39
Patna,07-31-18, M,9.26,26680623,39.04
Patna,08-31-18, M,9.27,26215273,38.28
Patna,09-30-18, M,5.41,28043216,39.2
Patna,10-31-18, M,9.56,26666955,38.9
Patna,11-30-18, M,11.23,25928392,38.45
Patna,12-31-18, M,8.14,25722354,36.78
Patna,01-31-19, M,8.69,27289779,39.17
Patna,02-28-19, M,11.47,26749981,39.53
Patna,03-31-19, M,11.29,26382051,38.82
Patna,04-30-19, M,12.19,25018247,37.11
Patna,05-31-19, M,10.58,27351666,39.76
Patna,06-30-19, M,10.58,27346572,39.66
Patna,07-31-19, M,13.8,26308621,39.5
Patna,08-31-19, M,11.84,25254973,36.99
Patna,09-30-19, M,10.1,26983170,38.68
Patna,10-31-19, M,12.66,27226568,40.08
Patna,11-30-19, M,13.07,25527075,37.68
Patna,12-31-19, M,10.73,25892391,37.13
Patna,01-31-20, M,10.61,26397671,37.72
Patna,02-29-20, M,10.29,26281655,37.35
Patna,03-31-20, M,15.43,25717519,38.69
Patna,04-30-20, M,46.64,16046236,38.17
Patna,05-31-20, M,45.96,16280203,38.16
Patna,06-30-20, M,17.82,23963933,36.86
Patna,07-31-20, M,12.79,24989370,36.14
Patna,08-31-20, M,13.44,23795534,34.59
Patna,09-30-20, M,11.91,26902907,38.35
Patna,10-31-20, M,9.82,25693252,35.7
Patna,11-30-20, M,9.98,26021204,36.14
Patna,12-31-20, M,12.65,24393328,34.84
Patna,01-31-21, M,10.5,28016910,38.97
Patna,02-28-21, M,11.47,25685968,36.05
Patna,03-31-21, M,14.6,25734604,37.36
Patna,04-30-21, M,11.54,24727431,34.58
Patna,05-31-21, M,13.83,27342817,39.17
Patna,06-30-21, M,10.5,25380747,34.94
Patna,07-31-21, M,13.02,25373093,35.86
Patna,08-31-21, M,13.61,23991739,34.06
Patna,09-30-21, M,9.97,26732995,36.34
Patna,10-31-21, M,13.88,24875414,35.28
Patna,11-30-21, M,14.8,24569436,35.14
Patna,12-31-21, M,15.98,23821810,34.48
Patna,01-31-22, M,13.26,25633718,35.86
Patna,02-28-22, M,13.89,24601362,34.6
Patna,03-31-22, M,14.45,24069800,34.0
Patna,04-30-22, M,21.05,23784643,36.33
Patna,05-31-22, M,13.26,26704592,37.04
Patna,06-30-22, M,13.98,24402703,34.06
Patna,07-31-22, M,18.82,24153766,35.64
