Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Puducherry,01-31-16, M,12.53,477055,49.91
Puducherry,02-29-16, M,16.32,520965,56.84
Puducherry,03-31-16, M,4.77,481553,46.05
Puducherry,04-30-16, M,1.42,527271,48.59
Puducherry,05-31-16, M,5.96,473039,45.59
Puducherry,06-30-16, M,13.55,521557,54.54
Puducherry,07-31-16, M,5.14,491214,46.7
Puducherry,08-31-16, M,1.5,527781,48.2
Puducherry,09-30-16, M,3.33,501535,46.56
Puducherry,10-31-16, M,11.54,545364,55.19
Puducherry,11-30-16, M,4.71,519621,48.7
Puducherry,12-31-16, M,2.6,539462,49.34
Puducherry,01-31-17, M,1.98,488026,44.24
Puducherry,02-28-17, M,4.41,555435,51.51
Puducherry,03-31-17, M,1.1,499616,44.68
Puducherry,04-30-17, M,3.0,535669,48.72
Puducherry,05-31-17, M,1.34,480371,42.85
Puducherry,06-30-17, M,6.7,514593,48.42
Puducherry,07-31-17, M,1.79,482802,43.05
Puducherry,08-31-17, M,4.3,498514,45.5
Puducherry,09-30-17, M,5.32,458240,42.18
Puducherry,10-31-17, M,2.87,527479,47.2
Puducherry,11-30-17, M,4.1,470843,42.57
Puducherry,12-31-17, M,2.79,483833,43.05
Puducherry,01-31-18, M,4.44,460214,41.56
Puducherry,02-28-18, M,2.02,514606,45.21
Puducherry,03-31-18, M,3.94,425864,38.07
Puducherry,04-30-18, M,1.65,495707,43.18
Puducherry,05-31-18, M,2.27,466126,40.75
Puducherry,06-30-18, M,0.76,514995,44.23
Puducherry,07-31-18, M,3.29,421274,37.04
Puducherry,08-31-18, M,0.68,502845,42.94
Puducherry,09-30-18, M,3.51,434151,38.07
Puducherry,10-31-18, M,0.57,501412,42.56
Puducherry,11-30-18, M,0.42,427563,36.15
Puducherry,12-31-18, M,0.37,508041,42.83
Puducherry,01-31-19, M,1.67,467102,39.79
Puducherry,02-28-19, M,0.87,504674,42.55
Puducherry,03-31-19, M,0.31,400011,33.45
Puducherry,04-30-19, M,0.37,504548,42.12
Puducherry,05-31-19, M,0.78,456379,38.16
Puducherry,06-30-19, M,0.0,488896,40.46
Puducherry,07-31-19, M,0.0,420344,34.7
Puducherry,08-31-19, M,7.47,496812,44.21
Puducherry,09-30-19, M,0.76,462290,38.26
Puducherry,10-31-19, M,1.17,492832,40.86
Puducherry,11-30-19, M,0.91,417790,34.46
Puducherry,12-31-19, M,4.05,493943,41.97
Puducherry,01-31-20, M,0.58,457950,37.46
Puducherry,02-29-20, M,1.76,493961,40.8
Puducherry,03-31-20, M,1.2,421028,34.49
Puducherry,04-30-20, M,75.85,117542,39.3
Puducherry,05-31-20, M,58.19,172308,33.19
Puducherry,06-30-20, M,4.24,367135,30.8
Puducherry,07-31-20, M,15.47,386563,36.64
Puducherry,08-31-20, M,5.05,396006,33.34
Puducherry,09-30-20, M,10.9,411717,36.84
Puducherry,10-31-20, M,6.18,428419,36.32
Puducherry,11-30-20, M,2.18,407505,33.05
Puducherry,12-31-20, M,2.7,415410,33.79
Puducherry,01-31-21, M,7.56,420079,35.87
Puducherry,02-28-21, M,5.76,420318,35.13
Puducherry,03-31-21, M,1.44,418321,33.34
Puducherry,04-30-21, M,2.72,424356,34.19
Puducherry,05-31-21, M,23.97,348683,35.85
Puducherry,06-30-21, M,47.12,222864,32.86
Puducherry,07-31-21, M,9.58,408760,35.16
Puducherry,08-31-21, M,8.57,462760,39.27
Puducherry,09-30-21, M,11.17,416187,36.26
Puducherry,10-31-21, M,6.02,425097,34.92
Puducherry,11-30-21, M,6.29,429628,35.3
Puducherry,12-31-21, M,6.22,464517,38.05
Puducherry,01-31-22, M,7.76,431656,35.86
Puducherry,02-28-22, M,3.71,436960,34.69
Puducherry,03-31-22, M,4.22,437602,34.84
Puducherry,04-30-22, M,5.56,489100,39.39
Puducherry,05-31-22, M,5.58,449016,36.08
Puducherry,06-30-22, M,0.85,446761,34.1
Puducherry,07-31-22, M,2.82,443305,34.44
