Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Shillong,01-31-18, M,10.86,1138806,58.5
Shillong,02-28-18, M,7.92,1138690,56.5
Shillong,03-31-18, M,6.72,1067546,52.16
Shillong,04-30-18, M,4.04,1168761,55.38
Shillong,05-31-18, M,10.54,1149825,58.3
Shillong,06-30-18, M,6.73,1111337,53.91
Shillong,07-31-18, M,3.51,1178817,55.14
Shillong,08-31-18, M,4.23,1245669,58.56
Shillong,09-30-18, M,4.57,1271561,59.85
Shillong,10-31-18, M,4.81,1199584,56.46
Shillong,11-30-18, M,3.02,1305640,60.17
Shillong,12-31-18, M,2.71,1288889,59.06
Shillong,01-31-19, M,2.65,1367106,62.45
Shillong,02-28-19, M,6.4,1229411,58.28
Shillong,03-31-19, M,2.01,1419680,64.13
Shillong,04-30-19, M,2.28,1271267,57.44
Shillong,05-31-19, M,4.09,1347989,61.91
Shillong,06-30-19, M,5.08,1256049,58.14
Shillong,07-31-19, M,1.72,1442525,64.34
Shillong,08-31-19, M,1.6,1325158,58.88
Shillong,09-30-19, M,1.19,1416046,62.51
Shillong,10-31-19, M,4.35,1314984,59.81
Shillong,11-30-19, M,1.8,1499134,66.26
Shillong,12-31-19, M,2.48,1370415,60.85
Shillong,01-31-20, M,1.66,1491093,65.49
Shillong,02-29-20, M,3.59,1346829,60.2
Shillong,03-31-20, M,1.58,1482351,64.74
Shillong,04-30-20, M,10.03,965057,45.99
Shillong,05-31-20, M,5.92,1215064,55.24
Shillong,06-30-20, M,1.15,1350794,58.31
Shillong,07-31-20, M,2.1,1448106,62.96
Shillong,08-31-20, M,3.74,1357643,59.88
Shillong,09-30-20, M,4.29,1459726,64.6
Shillong,10-31-20, M,4.6,1381490,61.18
Shillong,11-30-20, M,1.12,1425271,60.75
Shillong,12-31-20, M,6.58,1320920,59.45
Shillong,01-31-21, M,3.28,1412004,61.23
Shillong,02-28-21, M,3.83,1326534,57.72
Shillong,03-31-21, M,1.31,1516752,64.15
Shillong,04-30-21, M,1.44,1385061,58.52
Shillong,05-31-21, M,6.49,1293466,57.46
Shillong,06-30-21, M,2.84,1472538,62.8
Shillong,07-31-21, M,0.39,1598729,66.34
Shillong,08-31-21, M,0.58,1444334,59.9
Shillong,09-30-21, M,2.06,1497799,62.9
Shillong,10-31-21, M,1.82,1326274,55.42
Shillong,11-30-21, M,0.73,1486378,61.29
Shillong,12-31-21, M,3.04,1363563,57.41
Shillong,01-31-22, M,1.51,1461898,60.45
Shillong,02-28-22, M,1.41,1545712,63.71
Shillong,03-31-22, M,1.99,1464188,60.56
Shillong,04-30-22, M,2.23,1428366,59.07
Shillong,05-31-22, M,4.06,1465621,61.62
Shillong,06-30-22, M,2.32,1453711,59.88
Shillong,07-31-22, M,1.49,1522255,62.03
