Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Srinagar,01-31-16, M,12.31,3377251,41.1
Srinagar,02-29-16, M,17.97,3197946,41.52
Srinagar,03-31-16, M,13.8,3393838,41.84
Srinagar,04-30-16, M,10.49,3720119,44.08
Srinagar,05-31-16, M,22.02,3330402,45.2
Srinagar,06-30-16, M,21.3,3301976,44.31
Srinagar,07-31-16, M,18.23,3307119,42.62
Srinagar,08-31-16, M,24.04,3773961,52.25
Srinagar,09-30-16, M,25.31,3249418,45.65
Srinagar,10-31-16, M,26.32,2966999,42.17
Srinagar,11-30-16, M,29.92,3181288,47.44
Srinagar,12-31-16, M,21.34,3865037,51.24
Srinagar,01-31-17, M,21.7,3225601,42.86
Srinagar,02-28-17, M,9.46,3335125,38.26
Srinagar,03-31-17, M,17.69,3563228,44.86
Srinagar,04-30-17, M,17.05,3770892,47.01
Srinagar,05-31-17, M,10.16,3181602,36.55
Srinagar,06-30-17, M,11.86,3503726,40.94
Srinagar,07-31-17, M,7.57,3208853,35.67
Srinagar,08-31-17, M,7.33,3773189,41.75
Srinagar,09-30-17, M,12.56,3548680,41.53
Srinagar,10-31-17, M,12.8,3565494,41.75
Srinagar,11-30-17, M,12.93,3598156,42.11
Srinagar,12-31-17, M,13.96,3730554,44.08
Srinagar,01-31-18, M,9.97,3583828,40.39
Srinagar,02-28-18, M,15.13,3421905,40.83
Srinagar,03-31-18, M,14.0,3645677,42.83
Srinagar,04-30-18, M,10.7,3795073,42.85
Srinagar,05-31-18, M,9.67,3637496,40.52
Srinagar,06-30-18, M,13.16,3412005,39.45
Srinagar,07-31-18, M,10.04,3627060,40.4
Srinagar,08-31-18, M,7.95,3762614,40.87
Srinagar,09-30-18, M,13.21,3551156,40.82
Srinagar,10-31-18, M,14.58,3277483,38.2
Srinagar,11-30-18, M,11.15,3529595,39.47
Srinagar,12-31-18, M,9.08,3675581,40.08
Srinagar,01-31-19, M,17.1,3596568,42.92
Srinagar,02-28-19, M,15.23,3482740,40.56
Srinagar,03-31-19, M,15.15,3711176,43.09
Srinagar,04-30-19, M,10.62,3894195,42.84
Srinagar,05-31-19, M,16.26,3625325,42.47
Srinagar,06-30-19, M,14.74,3563557,40.92
Srinagar,07-31-19, M,16.34,3733085,43.59
Srinagar,08-31-19, M,22.45,3411463,42.88
Srinagar,09-30-19, M,19.87,3365012,40.85
Srinagar,10-31-19, M,20.73,3506707,42.94
Srinagar,11-30-19, M,14.58,3642517,41.31
Srinagar,12-31-19, M,12.48,4574768,50.52
Srinagar,01-31-20, M,21.08,3453025,42.2
Srinagar,02-29-20, M,20.78,3223513,39.17
Srinagar,03-31-20, M,15.5,3359107,38.18
Srinagar,05-31-20, M,18.74,3246493,38.21
Srinagar,06-30-20, M,17.92,3202336,37.24
Srinagar,07-31-20, M,10.88,3558889,38.03
Srinagar,08-31-20, M,11.09,3429950,36.66
Srinagar,09-30-20, M,16.17,3210281,36.31
Srinagar,10-31-20, M,16.14,3106691,35.05
Srinagar,11-30-20, M,8.55,3105513,32.07
Srinagar,12-31-20, M,16.61,3333288,37.67
Srinagar,01-31-21, M,21.9,3308895,39.83
Srinagar,02-28-21, M,14.21,3075564,33.64
Srinagar,03-31-21, M,9.53,2994081,30.99
Srinagar,04-30-21, M,11.45,3578310,37.76
Srinagar,05-31-21, M,11.92,3494510,36.99
Srinagar,06-30-21, M,10.57,3273797,34.06
Srinagar,07-31-21, M,15.4,3383418,37.13
Srinagar,08-31-21, M,13.57,3518412,37.72
Srinagar,09-30-21, M,21.45,3335458,39.25
Srinagar,10-31-21, M,22.2,3185277,37.77
Srinagar,11-30-21, M,21.17,3480110,40.64
Srinagar,12-31-21, M,15.03,3759129,40.64
Srinagar,01-31-22, M,15.19,3344297,36.14
Srinagar,02-28-22, M,13.17,3282942,34.59
Srinagar,03-31-22, M,25.01,3358617,40.88
Srinagar,04-30-22, M,15.64,3420154,36.93
Srinagar,05-31-22, M,18.3,3347152,37.24
Srinagar,06-30-22, M,17.23,3320692,36.39
Srinagar,07-31-22, M,20.22,3226431,36.6
