,date,NO2_govt,SO2_govt,PM2.5_govt,CO_sat,NO2_sat,SO2_sat,index
0,2018-01-01,8.98,3.48,65.77,133.52837399999999,6.339291066666668,0.060459877999999995,5
1,2018-01-02,7.37,3.31,62.75,126.40763700000001,6.342757268041671,0.043113610916992375,8
2,2018-01-03,10.5,6.1,57.58,107.95580833333334,6.525160400000001,0.1241351205,19
3,2018-01-04,17.29,5.13,68.36,114.84371499999999,6.36631791960891,0.04111348698408982,21
4,2018-01-05,15.07,7.48,74.49,124.7777148322422,6.164814533333334,0.157492891,28
5,2018-01-06,15.95,8.46,84.76,124.75842,6.782689565555149,0.05267283911571056,40
6,2018-01-07,9.84,6.43,76.57,122.66612579073616,5.891061466666668,-0.413703591,42
7,2018-01-08,18.58,6.93,72.44,117.50186466666666,7.274396800000001,-0.08283970033333334,52
8,2018-01-09,17.92,6.12,82.62,104.2305181,6.4649373053163135,0.039577287814397975,56
9,2018-01-10,15.56,7.24,77.68,136.28353666666666,6.283060266666666,0.13792916633333333,66
10,2018-01-11,16.05,5.39,50.91,126.77628533333332,6.233993393113304,0.04385616434304276,75
11,2018-01-12,15.32,4.7,51.95,116.82727685789564,3.998427866666667,-0.0475575325,78
12,2018-01-13,15.06,5.43,47.43,129.02698166666667,6.199493725488525,0.0442490659126371,84
13,2018-01-14,10.01,4.48,37.74,116.03252396492479,5.712072933333334,0.03415669412651546,91
14,2018-01-15,15.6,6.18,53.49,119.24809466666666,4.796782400000001,-0.085058585,98
15,2018-01-16,17.08,5.76,76.31,125.99332275862969,6.185243866666667,0.14225599666666666,110
16,2018-01-17,16.11,8.05,79.31,137.37007966666667,7.275957200000001,-0.007147201,112
17,2018-01-18,13.95,5.17,73.73,117.79290300000001,6.469037683668455,0.043411253794047554,119
18,2018-01-19,16.09,8.16,66.75,116.57054233333334,5.627435333333334,0.29664878199999994,131
19,2018-01-20,18.9,8.65,82.57,116.68695733333334,6.658955154521696,0.048570554879608076,134
20,2018-01-21,12.21,7.15,86.71,124.60128127478626,5.446873866666667,0.125071081,140
21,2018-01-22,17.82,5.34,83.31,126.93150566666667,6.789734231666678,0.05060766275689695,152
22,2018-01-23,16.71,6.51,85.48,124.59702591681227,4.795290933333334,0.035062928,155
23,2018-01-24,12.87,5.56,80.17,129.60905833333334,5.956886533333335,-0.003166865,166
24,2018-01-25,12.12,6.04,55.19,113.36912066666666,6.08747823270671,0.479999989,169
25,2018-01-26,14.59,7.54,56.48,133.334349,6.5561240000000005,0.06225429233333333,180
26,2018-01-27,11.29,8.93,61.38,128.134464,6.404143624458832,0.04967647671914004,182
27,2018-01-28,14.31,6.7,51.56,122.95298296950043,7.406278800000001,0.0431391349176937,194
28,2018-01-29,16.11,6.11,69.71,136.51636733333333,6.68706831154106,0.05337592709613923,197
29,2018-01-30,11.73,4.88,71.28,121.67514059724891,5.309615066666667,0.04439724985430849,205
30,2018-01-31,14.38,8.05,64.65,128.44490499999998,8.444095200000001,0.50999999,215
31,2018-02-01,9.34,5.35,76.13,122.21789047544497,5.6070248000000005,-0.050884919333333334,217
32,2018-02-02,20.79,6.35,65.1,132.17019533333334,8.095142133333335,-0.02200230733333332,227
33,2018-02-03,17.07,8.35,54.44,113.62135433333333,6.131293425025608,0.04083278229137851,231
34,2018-02-04,11.8,7.55,56.15,132.05378,6.941373600000001,0.09947688433333333,243
35,2018-02-05,11.97,7.88,54.49,132.713467,6.354337860148857,0.049672696822076555,248
36,2018-02-06,11.34,7.17,50.99,119.96186571332726,6.485053733333333,-0.03500665750000001,257
37,2018-02-07,11.53,4.41,42.27,134.38208666666665,6.154063877257914,0.04459209065729248,260
38,2018-02-08,14.63,5.35,29.49,114.07733974212938,4.742046200000001,0.03281708264922339,266
39,2018-02-09,15.65,6.28,43.0,133.489569,6.396179866666667,0.2507798846666666,276
40,2018-02-10,12.45,3.92,42.57,127.66880299999998,6.070422190412843,0.0408113103160248,280
41,2018-02-11,21.79,4.03,42.78,130.579186,7.078080933333335,0.06607351333333333,292
42,2018-02-12,22.76,27.64,49.02,127.31955699999999,6.738098600000001,0.06641522917297496,295
43,2018-02-13,19.05,6.78,54.78,122.54186465088647,6.181283333333334,-0.136605531,306
44,2018-02-14,18.82,6.74,63.22,123.749487,6.426151266442677,0.04640152611941183,309
45,2018-02-15,20.47,5.3,40.46,118.59598646584766,5.078569333333333,0.03790322234557709,320
46,2018-02-16,21.66,4.72,46.52,122.93457999999998,7.067270933333334,-0.136701569,323
47,2018-02-17,18.18,7.73,52.0,120.83189144196349,5.711527733333334,0.03130985,329
48,2018-02-18,14.38,7.04,52.78,120.99432433333334,7.3345004000000005,0.329846114,341
49,2018-02-19,18.97,7.47,62.62,110.09008933333332,6.319450800000001,-0.1666902965,346
50,2018-02-20,19.88,7.75,57.33,126.795688,6.429863200000001,-0.02973386566666666,355
51,2018-02-21,20.63,6.85,61.07,135.81787533333332,6.575152444686916,0.05246643796464826,358
52,2018-02-22,17.94,9.68,47.58,121.45216665155118,6.529565866666668,0.194974817,364
53,2018-02-23,20.31,8.08,43.31,120.33463766666667,6.066134889787456,0.042102927539974695,371
54,2018-02-24,17.78,8.97,50.44,119.21974491277915,5.238037200000001,-0.173292711,378
55,2018-02-25,9.847192527170272,5.791322157825926,22.8172760970765,103.57083133333333,5.5215036,0.10862669599999998,390
56,2018-02-26,15.47,8.57,27.36,110.6139584,6.0823577333333345,0.041150082,392
57,2018-02-27,15.0,7.79,35.02,131.937365,6.000101466666667,0.07277016533333334,399
58,2018-02-28,16.61,8.29,30.36,126.73748033333334,7.332194266666668,-0.08477511133333333,411
59,2018-03-01,15.85,7.1,29.76,117.47735814756474,6.335267866666666,0.07425787066666666,414
60,2018-03-02,12.82,7.37,36.12,123.322631,5.921970276817632,0.04071985598672822,420
61,2018-03-03,13.46,10.51,40.42,117.29341221613498,5.9019968,0.04165437547935225,432
62,2018-03-04,13.18,8.59,57.57,125.80615766666666,6.2810236,-0.043338761,435
63,2018-03-05,13.46,8.76,47.6,119.89019392731755,6.425244666666667,0.19106818766666667,446
64,2018-03-06,13.18,7.77,57.21,111.50647566666667,7.374588266666668,-0.14826198999999998,449
65,2018-03-07,14.87,7.95,56.42,116.47352933333333,5.644888000000001,0.2565099003333333,460
66,2018-03-08,15.69,5.68,52.68,138.76706366666667,5.0523496,-0.12342237333333334,462
67,2018-03-09,11.69,8.52,55.67,120.22755835483483,6.199844527056419,0.04409466291303082,469
68,2018-03-10,15.08,9.72,53.6,118.34150846624627,4.9357332000000005,0.044237361749134764,481
69,2018-03-11,16.99,15.11,60.79,125.41810666666667,6.433945109716719,0.05484762531429683,483
70,2018-03-12,16.24,10.7,42.96,119.45110554965302,6.356797,-0.07761839,490
71,2018-03-13,15.27,4.25,24.9,143.2490535,5.725765600000001,-0.05343473,502
72,2018-03-14,11.49,5.88,18.29,122.77935966666666,5.599439940411923,0.035233932606091305,505
73,2018-03-15,8.61,4.93,13.32,134.614917,6.073032933333334,-0.048872902,511
74,2018-03-16,8.56,4.37,17.13,123.82709733333333,5.041376666666667,0.040003773,523
75,2018-03-17,11.64,5.27,21.0,110.33979049023286,4.071559866666667,0.11244978350000001,526
76,2018-03-18,14.24,4.86,28.07,128.09565899999998,5.854792780989066,0.03921559128643099,537
77,2018-03-19,13.38,5.94,22.36,112.73094643440484,4.940965866666667,0.03114090057435529,540
78,2018-03-20,15.49,5.61,42.35,118.93765400000001,6.415644133333334,0.053363819,551
79,2018-03-21,13.3,5.53,41.69,117.54449618231351,5.6957044,-0.13571935633333335,554
80,2018-03-22,9.88,6.27,30.26,131.08365233333333,5.847069466666667,0.3461576265,560
81,2018-03-23,9.88,5.33,31.82,132.791077,5.574413066666668,0.149046924,572
82,2018-03-24,12.41,5.44,28.94,136.82680833333333,5.829873733333334,-0.016638715,574
83,2018-03-25,13.6,4.88,43.3,121.75102399999999,6.013978709382539,0.03898186990360924,581
84,2018-03-26,17.03,5.63,44.79,118.97513020280644,5.4478827999999995,0.127513915,593
85,2018-03-27,14.3,5.1,42.22,125.80615766666666,6.059749677534765,0.04113774929258263,596
86,2018-03-28,15.58,10.54,24.18,114.24987031148473,5.529368266666668,-0.182500631,602
87,2018-03-29,13.68,5.01,36.21,124.83603033333333,5.300221333333334,-0.03820599233333333,614
88,2018-03-30,8.38,4.7,40.43,118.45258966666665,4.982181733333334,0.47638014,617
89,2018-03-31,10.41,5.82,38.28,139.775996,6.1532713333333335,-0.214923803,628
90,2018-04-01,9.95,8.92,27.17,125.010653,5.633332266666667,0.12885651,631
91,2018-04-02,8.16,7.79,28.68,111.65114746668914,4.808112533333333,0.02883098766666667,642
92,2018-04-03,11.2,5.86,34.09,130.73440666666667,5.97111529152462,0.042463738958272663,645
93,2018-04-04,13.56,7.69,32.48,113.81913553892845,4.6623248,0.0354890297086435,656
94,2018-04-05,10.01,7.86,44.06,124.19574566666665,5.281947733333333,0.166740343,660
95,2018-04-06,13.13,11.27,33.33,113.29987218387515,4.590922400000001,0.10038315033333332,666
96,2018-04-07,10.86,7.86,42.69,112.34078566666666,5.464201200000001,-0.02662791633333333,673
97,2018-04-08,8.87,6.14,24.7,121.07193466666666,5.236458,0.05818066999999999,679
98,2018-04-09,8.68,4.93,19.9,125.88376799999999,4.933608800000001,0.1100621525,691
99,2018-04-10,10.96,6.79,15.6,125.24348366666668,5.589121255266292,0.036802318705155594,694
100,2018-04-11,9.49,6.65,18.83,111.4739332214227,5.268706266666666,0.159999996,700
101,2018-04-12,9.38,6.31,18.83,126.271819,5.641650087634906,0.037347191234185416,712
102,2018-04-13,15.01,5.41,16.22,113.1448150970759,5.480839200000001,-0.234931141,715
103,2018-04-14,10.87,5.84,10.18,128.67773566666668,5.1991212,-0.071131155,726
104,2018-04-15,12.29,5.27,18.12,130.22994,5.7047489822363335,0.038509800340234414,729
105,2018-04-16,12.55,5.95,17.58,133.916425,5.9923057333333345,0.013325957,740
106,2018-04-17,15.35,6.29,22.88,128.79415133333333,8.136270266666669,-0.017504932,742
107,2018-04-18,18.82,5.59,29.47,116.81095316836854,5.404812000000001,0.176666662,754
108,2018-04-19,11.72,5.75,19.53,121.30476533333335,5.600724303711205,0.034621228029015925,757
109,2018-04-20,15.64,5.72,16.87,112.443006432844,4.897293466666667,0.02989889669584516,768
110,2018-04-21,13.73,7.06,26.03,130.443368,6.2681456,0.276742786,770
111,2018-04-22,12.2,6.43,27.74,114.94932651854144,5.837111733333334,-0.048592249333333344,777
112,2018-04-23,12.88,7.17,26.73,128.32848966666666,6.261064266666668,-0.03445847333333333,789
113,2018-04-24,9.75,6.01,20.87,128.25087933333333,6.131413200000001,-0.08884996899999999,791
114,2018-04-25,12.32,4.73,24.46,135.158189,6.160327600000001,0.011026445500000003,799
115,2018-04-26,12.38,6.31,30.0,134.34328166666668,5.965713745176713,0.04405890484804436,809
116,2018-04-27,14.48,6.37,35.24,116.67125183618136,5.613786533333335,0.0899667105,814
117,2018-04-28,15.25,5.76,36.48,126.27181900000001,5.981959650499111,0.04096763536369002,819
118,2018-04-29,10.97,8.16,45.71,117.15039766206372,5.548920266666667,0.292641878,831
119,2018-04-30,12.02,6.5,28.88,124.29275866666667,5.445965200000001,0.09462374033333333,833
120,2018-05-01,9.21,6.07,27.47,138.611843,5.2196038,0.277178407,845
121,2018-05-02,9.5,5.54,52.73,130.88962666666666,6.7919982,0.0304236385,848
122,2018-05-03,12.98,5.01,22.56,126.01958566666667,5.944083733333334,0.002229389,856
123,2018-05-04,9.78,6.02,29.19,115.45539135430168,6.2981128,0.092397682,866
124,2018-05-05,9.22,6.61,25.22,120.625676,5.668963123185706,0.03601393710673662,868
125,2018-05-06,9.54,5.53,19.27,110.98443985174173,4.945365066666667,0.02882133914900995,878
126,2018-05-07,11.48,6.45,15.57,111.622891,4.936585466666667,0.13166815,882
