Humid Subtropical,CO,NO2,SO2,PM2.5,,,Oceanic Subtropical Highland,CO,NO2,SO2,PM2.5
lasso,0.665035191,0.676384027,0.344221962,0.763258731,,,lasso,0.346171827,0.166840482,0.303352107,0.494962309
linreg,0.686490007,0.699340696,0.352568642,0.789616488,,,linreg,0.349397711,0.167114895,0.308063781,0.500218239
rf,0.958087386,0.957237232,0.910035983,0.975910653,,,rf,0.924686247,0.921896692,0.917667955,0.940774912
rfe,0.620825282,0.687520645,0.28202032,0.324499748,,,rfe,0.009447162,0.121912659,0.283274404,0.473328746
svr,0.038719059,0.628262594,0.254910153,0.520473087,,,svr,0.156802428,0.227025974,0.322913596,0.417573694
,,,,,,,,,,,
Marine West Coast,CO,NO2,SO2,PM2.5,,,Tropical Monsoon,CO,NO2,SO2,PM2.5
lasso,0.181960471,0.18142481,0.184914494,0.150907122,,,lasso,0.437234941,0.305864924,0.368372712,0.485950466
linreg,0.187022991,0.182084821,0.18914918,0.152842203,,,linreg,0.445762775,0.307971178,0.370718376,0.489495844
rf,0.875491568,0.889829544,0.895042909,0.860385829,,,rf,0.927663759,0.907480566,0.918745658,0.938176915
rfe,0.130493064,0.099145992,0.064377714,0.020809336,,,rfe,0.27609623,0.129135174,0.205704593,0.083191663
svr,-0.030916033,0.081228501,0.155393952,-0.005872007,,,svr,0.059848644,0.231385123,0.351329349,0.285494568
,,,,,,,,,,,
Mediterran,CO,NO2,SO2,PM2.5,,,Tropical Savanna,CO,NO2,SO2,PM2.5
lasso,0.580782192,0.570528217,0.556622239,0.724547404,,,lasso,0.683546844,0.551796788,0.028043989,0.850119613
linreg,0.586675071,0.577154048,0.561175636,0.728655661,,,linreg,0.690957117,0.552988969,0.037666696,0.856185713
rf,0.946859453,0.943888294,0.945424634,0.965769294,,,rf,0.964274043,0.945100189,0.874918642,0.981420679
rfe,0.565871321,0.552248186,0.516937464,0.710108196,,,rfe,0.655719958,0.460014985,0.002511178,0.829912087
svr,0.154668916,0.565743728,0.575863396,0.580834125,,,svr,0.0706331,0.499139327,0.012732044,0.554633269
,,,,,,,,,,,
Mid-Latitude Steppe and Desert,CO,NO2,SO2,PM2.5,,,,,,,
lasso,0.557891691,0.590328618,0.429959454,0.646743103,,,,,,,
linreg,0.562344505,0.59350797,0.437760225,0.648791968,,,,,,,
rf,0.938872144,0.946082462,0.912493112,0.953457043,,,,,,,
rfe,0.536681667,0.586603487,0.417422716,0.568634287,,,,,,,
svr,0.027462935,0.506464569,0.35869293,0.446572465,,,,,,,
