,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Delhi,28.564,77.145,2020-11-24,3650.664285714286,101.74142857142859,87.66999999999999,414.6014285714286
1,Delhi,28.564,77.145,2020-11-25,2645.254583333333,79.36958333333332,78.4,293.0845833333334
2,Delhi,28.564,77.145,2020-11-26,1904.2500000000002,60.80625,56.29749999999999,124.3258333333333
3,Delhi,28.564,77.145,2020-11-27,1656.6908333333333,54.30875000000001,38.49458333333333,142.295
4,Delhi,28.564,77.145,2020-11-28,2679.745416666667,77.51416666666664,44.22749999999999,207.71416666666676
5,Delhi,28.564,77.145,2020-11-29,5294.958750000001,103.57416666666666,84.99791666666668,380.8125
6,Delhi,28.564,77.145,2020-11-30,5604.267500000001,102.94708333333334,72.22125000000001,435.1929166666667
7,Delhi,28.564,77.145,2020-12-01,5724.4295833333335,112.61416666666666,66.88666666666666,552.2041666666667
8,Delhi,28.564,77.145,2020-12-02,2812.1474999999996,77.04166666666666,57.310416666666676,285.6570833333334
9,Delhi,28.564,77.145,2020-12-03,7519.087500000002,136.23458333333335,109.7529166666667,749.3679166666666
10,Delhi,28.564,77.145,2020-12-04,3123.1241666666665,94.55624999999999,74.94416666666667,436.9533333333334
11,Delhi,28.564,77.145,2020-12-05,2485.036666666667,73.30083333333333,51.57916666666667,366.8629166666667
12,Delhi,28.564,77.145,2020-12-06,3186.545,91.42208333333333,60.64791666666667,450.3745833333334
13,Delhi,28.564,77.145,2020-12-07,6178.935416666667,103.64583333333333,69.54833333333332,601.2208333333333
14,Delhi,28.564,77.145,2020-12-08,9216.944583333332,155.51249999999996,164.26958333333332,812.6445833333331
15,Delhi,28.564,77.145,2020-12-09,6222.884166666666,113.32958333333336,102.42124999999999,505.9804166666666
16,Delhi,28.564,77.145,2020-12-10,5489.668333333334,92.65041666666667,100.06791666666668,353.1316666666667
17,Delhi,28.564,77.145,2020-12-11,3032.4466666666667,73.45791666666666,70.83,233.28541666666663
18,Delhi,28.564,77.145,2020-12-12,4324.197916666665,77.67708333333336,83.7645833333333,336.6491666666667
19,Delhi,28.564,77.145,2020-12-13,1555.165,50.959583333333335,39.03125,107.68124999999999
20,Delhi,28.564,77.145,2020-12-14,5224.864583333334,79.46958333333332,69.59875,371.03124999999994
21,Delhi,28.564,77.145,2020-12-15,2501.72625,75.68541666666668,56.47583333333333,192.04291666666668
22,Delhi,28.564,77.145,2020-12-16,1547.0991666666669,49.623333333333335,41.82208333333334,127.59249999999999
23,Delhi,28.564,77.145,2020-12-17,1469.2154166666667,49.94499999999999,41.61333333333334,118.11250000000001
24,Delhi,28.564,77.145,2020-12-18,1603.2854166666673,54.87875000000002,38.594166666666666,128.44666666666666
25,Delhi,28.564,77.145,2020-12-19,1446.4070833333333,44.95375000000001,34.73,133.66791666666668
26,Delhi,28.564,77.145,2020-12-20,1937.6287500000005,57.44916666666666,40.183749999999996,189.27583333333334
27,Delhi,28.564,77.145,2020-12-21,6834.2683333333325,87.25291666666668,86.34749999999998,564.4691666666666
28,Delhi,28.564,77.145,2020-12-22,8778.572083333334,118.35583333333334,91.55375,758.6208333333334
29,Delhi,28.564,77.145,2020-12-23,6712.438333333335,117.7275,88.09583333333335,636.5525
30,Delhi,28.564,77.145,2020-12-24,3726.1654166666663,84.0825,56.15833333333333,314.7908333333333
31,Delhi,28.564,77.145,2020-12-25,3425.2008333333324,71.87333333333333,43.30375,316.7991666666666
32,Delhi,28.564,77.145,2020-12-26,5980.3324999999995,88.59583333333335,58.11416666666668,501.98708333333326
33,Delhi,28.564,77.145,2020-12-27,2221.068333333334,58.54916666666666,45.815416666666664,290.1920833333333
34,Delhi,28.564,77.145,2020-12-28,2656.659166666667,69.16000000000001,56.87250000000001,200.26458333333332
35,Delhi,28.564,77.145,2020-12-29,1697.3020833333333,55.00041666666667,41.55375,152.36291666666668
36,Delhi,28.564,77.145,2020-12-30,3260.533333333333,81.41250000000001,48.56791666666667,280.6091666666667
37,Delhi,28.564,77.145,2020-12-31,7320.484166666668,113.21416666666666,115.51374999999997,591.4741666666667
38,Delhi,28.564,77.145,2021-01-01,4294.713749999999,110.54458333333332,118.00874999999998,399.6133333333334
39,Delhi,28.564,77.145,2021-01-02,1653.3541666666667,56.16458333333333,38.58416666666666,261.88666666666666
40,Delhi,28.564,77.145,2021-01-03,1276.45375,36.86416666666668,35.37500000000001,95.23625000000003
41,Delhi,28.564,77.145,2021-01-04,3084.182916666666,60.705833333333345,54.51916666666665,174.34083333333334
42,Delhi,28.564,77.145,2021-01-05,1873.0954166666668,55.094166666666666,57.82749999999999,184.03666666666666
43,Delhi,28.564,77.145,2021-01-06,5206.505833333334,74.12875,105.53958333333333,380.24791666666675
44,Delhi,28.564,77.145,2021-01-07,4473.8445833333335,63.33375000000001,64.41291666666666,350.045
45,Delhi,28.564,77.145,2021-01-08,3287.7920833333337,66.90375,62.76458333333331,294.1191666666666
46,Delhi,28.564,77.145,2021-01-09,1199.6829166666664,33.42333333333333,31.610000000000003,126.27083333333333
47,Delhi,28.564,77.145,2021-01-10,1347.9383333333333,37.9,33.61666666666667,137.5158333333333
48,Delhi,28.564,77.145,2021-01-11,1594.3858333333335,46.00333333333334,35.97208333333334,148.98625
49,Delhi,28.564,77.145,2021-01-12,1830.2604166666663,54.9,38.904166666666676,191.39583333333334
50,Delhi,28.564,77.145,2021-01-13,5701.065833333334,77.01458333333333,58.51208333333333,503.21374999999995
51,Delhi,28.564,77.145,2021-01-14,8996.645833333334,139.06083333333333,145.41666666666666,848.55125
52,Delhi,28.564,77.145,2021-01-15,8171.08125,158.48333333333332,155.94625,907.8874999999999
53,Delhi,28.564,77.145,2021-01-16,3720.6020833333337,64.28916666666666,47.048333333333325,378.4187499999999
54,Delhi,28.564,77.145,2021-01-17,1419.7029166666669,43.8975,54.66708333333332,311.07666666666665
55,Delhi,28.564,77.145,2021-01-18,5053.520416666666,62.87666666666667,71.56583333333334,502.29875
56,Delhi,28.564,77.145,2021-01-19,1752.3766666666668,50.0525,40.94875,274.52541666666673
57,Delhi,28.564,77.145,2021-01-20,1392.9995833333332,34.344583333333325,34.54125,259.325
58,Delhi,28.564,77.145,2021-01-21,4464.944583333333,73.03666666666668,48.07124999999999,421.43833333333333
59,Delhi,28.564,77.145,2021-01-22,1762.9466666666667,50.48,53.81374999999999,333.20250000000004
60,Delhi,28.564,77.145,2021-01-23,2273.0829166666667,49.83166666666668,36.5875,359.7345833333333
