,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Hyderabad,17.427,78.43,2020-11-24,1091.9557142857143,35.11857142857143,39.85142857142858,106.3442857142857
1,Hyderabad,17.427,78.43,2020-11-25,916.2441666666667,30.99166666666667,24.58666666666666,74.325
2,Hyderabad,17.427,78.43,2020-11-26,551.7216666666667,16.419166666666666,16.625833333333336,63.411249999999995
3,Hyderabad,17.427,78.43,2020-11-27,548.8008333333335,15.548333333333334,14.387500000000001,55.376666666666665
4,Hyderabad,17.427,78.43,2020-11-28,734.0516666666667,16.519166666666667,18.517083333333336,78.20458333333332
5,Hyderabad,17.427,78.43,2020-11-29,1339.0375,40.72416666666666,27.26416666666667,91.8575
6,Hyderabad,17.427,78.43,2020-11-30,2125.1045833333333,50.90958333333332,36.12083333333332,146.45208333333332
7,Hyderabad,17.427,78.43,2020-12-01,2136.2304166666668,48.856249999999996,35.93208333333333,152.56791666666666
8,Hyderabad,17.427,78.43,2020-12-02,2738.1591666666664,73.36541666666668,40.25416666666666,222.28291666666667
9,Hyderabad,17.427,78.43,2020-12-03,2636.35375,64.17916666666667,39.82708333333334,193.76500000000001
10,Hyderabad,17.427,78.43,2020-12-04,2944.2712500000002,65.92541666666666,37.43208333333333,229.92
11,Hyderabad,17.427,78.43,2020-12-05,2202.432083333333,55.01791666666667,29.400833333333335,175.52166666666668
12,Hyderabad,17.427,78.43,2020-12-06,1193.9808333333333,38.51874999999999,26.589583333333334,116.04958333333333
13,Hyderabad,17.427,78.43,2020-12-07,1668.93,46.48208333333333,31.144166666666667,120.80833333333334
14,Hyderabad,17.427,78.43,2020-12-08,1711.488333333333,53.92166666666666,37.77000000000001,114.76791666666668
15,Hyderabad,17.427,78.43,2020-12-09,1667.9562500000004,52.96666666666667,30.44791666666666,112.75041666666668
16,Hyderabad,17.427,78.43,2020-12-10,1256.4266666666665,41.40208333333333,27.457500000000007,107.66541666666666
17,Hyderabad,17.427,78.43,2020-12-11,1177.4299999999998,41.61624999999999,25.91791666666667,127.67666666666668
18,Hyderabad,17.427,78.43,2020-12-12,910.8199999999998,28.49625,19.987916666666667,128.43291666666664
19,Hyderabad,17.427,78.43,2020-12-13,956.57625,30.07166666666667,21.205833333333327,130.26333333333332
20,Hyderabad,17.427,78.43,2020-12-14,895.9379166666668,26.530000000000005,21.90041666666667,127.73708333333332
21,Hyderabad,17.427,78.43,2020-12-15,1246.9687499999998,35.22625,24.621250000000003,144.3429166666667
22,Hyderabad,17.427,78.43,2020-12-16,1205.2458333333334,34.43333333333333,27.15958333333333,93.58833333333337
23,Hyderabad,17.427,78.43,2020-12-17,1905.0833333333337,46.31791666666666,36.31916666666667,167.58666666666667
24,Hyderabad,17.427,78.43,2020-12-18,1953.2050000000002,50.30166666666665,31.704999999999995,152.1954166666667
25,Hyderabad,17.427,78.43,2020-12-19,1248.9170833333335,39.80541666666666,24.653333333333332,88.25416666666662
